seq_id,muni_id,municipal,geoid,logrecno,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
3556,262,Saugus,06000US2500960015,133,2014-18,80341,7236,89635,4325,28523,6017
3557,263,Savoy,06000US2500360225,67,2014-18,60197,8104,60592,6147,0,0
3558,264,Scituate,06000US2502360330,315,2014-18,116750,15695,133380,13520,26792,20158
3559,265,Seekonk,06000US2500560645,91,2014-18,89155,6081,97532,11049,61667,44706
3560,266,Sharon,06000US2502160785,284,2014-18,138396,10215,151893,13973,42031,18254
3561,267,Sheffield,06000US2500361065,68,2014-18,76250,11212,83177,17250,30458,13512
3562,268,Shelburne,06000US2501161135,158,2014-18,63594,12582,75652,8687,36000,16391
3563,269,Sherborn,06000US2501761380,243,2014-18,180769,20485,193194,34155,50167,15775
3564,270,Shirley,06000US2501761590,244,2014-18,70542,4697,84439,7424,49727,11948
3565,271,Shrewsbury,06000US2502761800,366,2014-18,105959,4457,129635,5023,58209,11112
3566,272,Shutesbury,06000US2501161905,159,2014-18,83750,11702,87500,12743,0,0
3567,273,Somerset,06000US2500562430,92,2014-18,76311,4479,82602,5413,56696,12471
3568,274,Somerville,06000US2501762535,245,2014-18,91168,5080,118083,7819,80010,3881
3569,275,South Hadley,06000US2501564145,202,2014-18,65898,6021,79853,7590,38275,9766
3570,276,Southampton,06000US2501562745,201,2014-18,93854,16622,102435,13160,52794,9737
3571,277,Southborough,06000US2502763165,367,2014-18,145079,11903,152364,10430,47125,31354
3572,278,Southbridge,06000US2502763345,368,2014-18,50787,3286,76542,6848,34838,2536
3573,279,Southwick,06000US2501365825,180,2014-18,77734,10203,84544,11062,31176,11250
3574,280,Spencer,06000US2502766105,369,2014-18,71830,6734,93138,9362,29545,10266
3575,281,Springfield,06000US2501367000,181,2014-18,36730,1186,63356,2353,21386,1055
3576,282,Sterling,06000US2502767385,370,2014-18,107348,22224,120804,21139,68415,12349
3577,283,Stockbridge,06000US2500367595,69,2014-18,48493,13354,64583,10009,30372,6077
3578,284,Stoneham,06000US2501767665,246,2014-18,94835,5719,118768,6865,58840,13761
3579,285,Stoughton,06000US2502167945,285,2014-18,79421,4473,100089,6525,43621,7055
3580,286,Stow,06000US2501768050,247,2014-18,145967,18568,157708,21189,64958,15250
3581,287,Sturbridge,06000US2502768155,371,2014-18,91440,16817,106604,12324,54000,14118
3582,288,Sudbury,06000US2501768260,248,2014-18,176570,10277,184741,9976,38125,22713
3583,289,Sunderland,06000US2501168400,160,2014-18,61102,7942,87396,25127,43381,27021
3584,290,Sutton,06000US2502768610,372,2014-18,102439,10134,107627,11757,40268,37932
3585,291,Swampscott,06000US2500968645,134,2014-18,113422,8821,138417,15722,50417,12811
3586,292,Swansea,06000US2500568750,93,2014-18,83010,6888,89433,8728,58264,27341
3587,293,Taunton,06000US2500569170,94,2014-18,62185,4419,85991,2972,34173,3166
3588,294,Templeton,06000US2502769275,373,2014-18,70030,11247,81875,13938,36000,4252
3589,295,Tewksbury,06000US2501769415,249,2014-18,97584,3682,103459,7059,58606,18879
3590,296,Tisbury,06000US2500769940,101,2014-18,50301,7461,75417,25159,33243,15558
3591,297,Tolland,06000US2501370045,182,2014-18,101563,27585,100938,28462,110208,94254
3592,298,Topsfield,06000US2500970150,135,2014-18,136812,16970,161000,24251,15859,8891
3593,299,Townsend,06000US2501770360,250,2014-18,85462,7489,96434,7735,43580,13470
3594,300,Truro,06000US2500170605,40,2014-18,65446,10571,66341,6223,41250,19532
3595,301,Tyngsborough,06000US2501771025,251,2014-18,109652,8976,122996,10027,36875,26664
3596,302,Tyringham,06000US2500371095,70,2014-18,78750,14002,88750,29625,24000,7648
3597,303,Upton,06000US2502771480,374,2014-18,124856,10603,146818,21523,32252,15721
3598,304,Uxbridge,06000US2502771620,375,2014-18,101859,6370,110298,13485,54583,27798
3599,305,Wakefield,06000US2501772215,252,2014-18,95302,4173,114775,6199,54627,10174
3600,306,Wales,06000US2501372390,183,2014-18,54103,8165,63182,12526,30357,17565
3601,307,Walpole,06000US2502172495,286,2014-18,112897,7475,130383,10063,40223,9789
3602,308,Waltham,06000US2501772600,253,2014-18,85677,5912,114444,4576,64494,4086
3603,309,Ware,06000US2501572880,203,2014-18,51908,5077,68578,6746,31974,11848
3604,310,Wareham,06000US2502372985,316,2014-18,63365,6295,79056,6234,33178,7616
3605,311,Warren,06000US2502773090,376,2014-18,69851,28114,84936,13594,0,0
3606,312,Warwick,06000US2501173265,161,2014-18,55417,10095,59500,11079,30250,8614
3607,313,Washington,06000US2500373335,71,2014-18,82500,20636,84063,19899,0,0
3608,314,Watertown,06000US2501773440,254,2014-18,97929,6639,120165,7353,80855,6996
3609,315,Wayland,06000US2501773790,255,2014-18,174330,11150,188136,9954,60375,51236
3610,316,Webster,06000US2502773895,377,2014-18,57924,7480,79148,4910,35494,2151
3611,317,Wellesley,06000US2502174175,287,2014-18,188908,7736,225250,16992,79000,22974
3612,318,Wellfleet,06000US2500174385,41,2014-18,69267,7140,71019,4989,31023,20026
3613,319,Wendell,06000US2501174525,162,2014-18,44531,13774,56591,10178,19792,10808
3614,320,Wenham,06000US2500974595,136,2014-18,109712,24147,135521,41360,0,0
3615,321,West Boylston,06000US2502775155,379,2014-18,78313,15779,95507,13279,45833,15317
