,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAMELSAD
284384,0302332103100122,100714,7200,17,11,3,"POLYGON ((-71.16943359375 42.7994313198784, -71.1639404296875 42.7994313198784, -71.1639404296875 42.7954006530372, -71.16943359375 42.7954006530372, -71.16943359375 42.7994313198784))",25,009,00606931,25009,Essex County
285224,0302332103310131,38325,45503,12,11,3,"POLYGON ((-71.0650634765625 42.6743585769338, -71.0595703125 42.6743585769338, -71.0595703125 42.6703197725191, -71.0650634765625 42.6703197725191, -71.0650634765625 42.6743585769338))",25,009,00606931,25009,Essex County
285235,0302332130022330,153778,11353,13,31,12,"POLYGON ((-70.982666015625 42.4315658725792, -70.9771728515625 42.4315658725792, -70.9771728515625 42.4275113263909, -70.982666015625 42.4275113263909, -70.982666015625 42.4315658725792))",25,009,00606931,25009,Essex County
285794,0302332130021011,148500,54159,9,32,8,"POLYGON ((-70.9552001953125 42.4883019796022, -70.94970703125 42.4883019796022, -70.94970703125 42.4842511054625, -70.9552001953125 42.4842511054625, -70.9552001953125 42.4883019796022))",25,009,00606931,25009,Essex County
288507,0302332103321211,128716,139109,7,7,3,"POLYGON ((-71.1309814453125 42.601619944328, -71.12548828125 42.601619944328, -71.12548828125 42.5975764161889, -71.1309814453125 42.5975764161889, -71.1309814453125 42.601619944328))",25,009,00606931,25009,Essex County
289629,0302332130020211,267273,22037,19,29,7,"POLYGON ((-70.9991455078125 42.4720969091929, -70.99365234375 42.4720969091929, -70.99365234375 42.4680449858305, -70.9991455078125 42.4680449858305, -70.9991455078125 42.4720969091929))",25,009,00606931,25009,Essex County
292250,0302332130012310,128098,7946,14,34,11,"POLYGON ((-70.894775390625 42.5045028529905, -70.8892822265625 42.5045028529905, -70.8892822265625 42.5004530281256, -70.894775390625 42.5004530281256, -70.894775390625 42.5045028529905))",25,009,00606931,25009,Essex County
292714,0302332112100123,129037,5866,14,3,2,"POLYGON ((-70.8123779296875 42.7994313198784, -70.806884765625 42.7994313198784, -70.806884765625 42.7954006530372, -70.8123779296875 42.7954006530372, -70.8123779296875 42.7994313198784))",25,009,00606931,25009,Essex County
295538,0302332103132322,280530,110322,10,81,8,"POLYGON ((-71.08154296875 42.6864734154178, -71.0760498046875 42.6864734154178, -71.0760498046875 42.6824353983862, -71.08154296875 42.6824353983862, -71.08154296875 42.6864734154178))",25,009,00606931,25009,Essex County
297462,0302332112222112,161885,197030,8,41,7,"POLYGON ((-70.982666015625 42.5813996796651, -70.9771728515625 42.5813996796651, -70.9771728515625 42.5773548395578, -70.982666015625 42.5773548395578, -70.982666015625 42.5813996796651))",25,009,00606931,25009,Essex County
298416,0302332112030303,89513,59006,6,10,4,"POLYGON ((-70.9002685546875 42.7268391495544, -70.894775390625 42.7268391495544, -70.894775390625 42.7228037573273, -70.9002685546875 42.7228037573273, -70.9002685546875 42.7268391495544))",25,009,00606931,25009,Essex County
303205,0302332130001022,107805,25172,13,18,3,"POLYGON ((-70.9716796875 42.5409394716806, -70.9661865234375 42.5409394716806, -70.9661865234375 42.5368920078731, -70.9716796875 42.5368920078731, -70.9716796875 42.5409394716806))",25,009,00606931,25009,Essex County
304063,0302332130021010,178661,76592,11,68,7,"POLYGON ((-70.960693359375 42.4883019796022, -70.9552001953125 42.4883019796022, -70.9552001953125 42.4842511054625, -70.960693359375 42.4842511054625, -70.960693359375 42.4883019796022))",25,009,00606931,25009,Essex County
305745,0302332130010303,119384,14354,15,65,9,"POLYGON ((-70.9002685546875 42.5328442817131, -70.894775390625 42.5328442817131, -70.894775390625 42.5287962932037, -70.9002685546875 42.5287962932037, -70.9002685546875 42.5328442817131))",25,009,00606931,25009,Essex County
306538,0302332112021200,294814,293096,6,73,3,"POLYGON ((-70.9716796875 42.7308742792848, -70.9661865234375 42.7308742792848, -70.9661865234375 42.7268391495544, -70.9716796875 42.7268391495544, -70.9716796875 42.7308742792848))",25,009,00606931,25009,Essex County
308704,0302332103120211,245570,102974,7,16,2,"POLYGON ((-71.1749267578125 42.7308742792848, -71.16943359375 42.7308742792848, -71.16943359375 42.7268391495544, -71.1749267578125 42.7268391495544, -71.1749267578125 42.7308742792848))",25,009,00606931,25009,Essex County
309196,0302332130030112,78161,31221,11,9,3,"POLYGON ((-70.894775390625 42.4842511054625, -70.8892822265625 42.4842511054625, -70.8892822265625 42.4801999690121, -70.894775390625 42.4801999690121, -70.894775390625 42.4842511054625))",25,009,00606931,25009,Essex County
314946,0302332130010332,151850,11657,16,48,18,"POLYGON ((-70.894775390625 42.5247480423482, -70.8892822265625 42.5247480423482, -70.8892822265625 42.5206995291497, -70.894775390625 42.5206995291497, -70.894775390625 42.5247480423482))",25,009,00606931,25009,Essex County
316738,0302332112220012,70921,61427,10,15,2,"POLYGON ((-71.004638671875 42.6137489543149, -70.9991455078125 42.6137489543149, -70.9991455078125 42.6097062133941, -71.004638671875 42.6097062133941, -71.004638671875 42.6137489543149))",25,009,00606931,25009,Essex County
318406,0302332103312013,186408,131989,8,40,3,"POLYGON ((-71.0870361328125 42.6460814345807, -71.08154296875 42.6460814345807, -71.08154296875 42.6420407930443, -71.0870361328125 42.6420407930443, -71.0870361328125 42.6460814345807))",25,009,00606931,25009,Essex County
319918,0302332112223131,276376,160799,10,106,5,"POLYGON ((-70.9332275390625 42.5773548395578, -70.927734375 42.5773548395578, -70.927734375 42.5733097370664, -70.9332275390625 42.5733097370664, -70.9332275390625 42.5773548395578))",25,009,00606931,25009,Essex County
321714,0302332121131233,111540,20342,9,4,3,"POLYGON ((-71.0430908203125 42.4599403522166, -71.03759765625 42.4599403522166, -71.03759765625 42.4558876419717, -71.0430908203125 42.4558876419717, -71.0430908203125 42.4599403522166))",25,009,00606931,25009,Essex County
322443,0302332112233103,147676,12339,13,34,4,"POLYGON ((-70.8563232421875 42.5813996796651, -70.850830078125 42.5813996796651, -70.850830078125 42.5773548395578, -70.8563232421875 42.5773548395578, -70.8563232421875 42.5813996796651))",25,009,00606931,25009,Essex County
325858,0302332103110223,194719,13650,14,29,8,"POLYGON ((-71.0980224609375 42.7833070772496, -71.092529296875 42.7833070772496, -71.092529296875 42.7792753602419, -71.0980224609375 42.7792753602419, -71.0980224609375 42.7833070772496))",25,009,00606931,25009,Essex County
330171,0302332103121222,186020,72148,11,49,14,"POLYGON ((-71.1474609375 42.7187681026063, -71.1419677734375 42.7187681026063, -71.1419677734375 42.7147321853946, -71.1474609375 42.7147321853946, -71.1474609375 42.7187681026063))",25,009,00606931,25009,Essex County
332442,0302332103313023,187122,10015,12,5,3,"POLYGON ((-71.0540771484375 42.6379998890741, -71.048583984375 42.6379998890741, -71.048583984375 42.6339587226731, -71.0540771484375 42.6339587226731, -71.0540771484375 42.6379998890741))",25,009,00606931,25009,Essex County
336550,0302332112233023,186688,13846,12,35,12,"POLYGON ((-70.8782958984375 42.5733097370664, -70.872802734375 42.5733097370664, -70.872802734375 42.5692643721938, -70.8782958984375 42.5692643721938, -70.8782958984375 42.5733097370664))",25,009,00606931,25009,Essex County
338222,0302332130010002,280392,208235,7,3,2,"POLYGON ((-70.927734375 42.5490336122251, -70.9222412109375 42.5490336122251, -70.9222412109375 42.5449866731323, -70.927734375 42.5449866731323, -70.927734375 42.5490336122251))",25,009,00606931,25009,Essex County
340461,0302332103110233,98744,6747,15,41,15,"POLYGON ((-71.0870361328125 42.7833070772496, -71.08154296875 42.7833070772496, -71.08154296875 42.7792753602419, -71.0870361328125 42.7792753602419, -71.0870361328125 42.7833070772496))",25,009,00606931,25009,Essex County
341199,0302332110223100,233690,23453,26,9,3,"POLYGON ((-70.94970703125 42.8437513262902, -70.9442138671875 42.8437513262902, -70.9442138671875 42.8397235476408, -70.94970703125 42.8397235476408, -70.94970703125 42.8437513262902))",25,009,00606931,25009,Essex County
342541,0302332103122233,162279,24175,13,8,5,"POLYGON ((-71.1749267578125 42.6864734154178, -71.16943359375 42.6864734154178, -71.16943359375 42.6824353983862, -71.1749267578125 42.6824353983862, -71.1749267578125 42.6864734154178))",25,009,00606931,25009,Essex County
343149,0302332103120002,150876,14414,13,5,4,"POLYGON ((-71.19140625 42.7429780934664, -71.1859130859375 42.7429780934664, -71.1859130859375 42.7389437512438, -71.19140625 42.7389437512438, -71.19140625 42.7429780934664))",25,009,00606931,25009,Essex County
344102,0302332112011000,269156,21543,13,16,6,"POLYGON ((-70.8837890625 42.8115217450979, -70.8782958984375 42.8115217450979, -70.8782958984375 42.8074918659116, -70.8837890625 42.8074918659116, -70.8837890625 42.8115217450979))",25,009,00606931,25009,Essex County
347149,0302332112322002,152907,13814,14,47,4,"POLYGON ((-70.83984375 42.5813996796651, -70.8343505859375 42.5813996796651, -70.8343505859375 42.5773548395578, -70.83984375 42.5773548395578, -70.83984375 42.5813996796651))",25,009,00606931,25009,Essex County
347535,0302332121131122,310975,27569,13,13,6,"POLYGON ((-71.03759765625 42.4761485702545, -71.0321044921875 42.4761485702545, -71.0321044921875 42.4720969091929, -71.03759765625 42.4720969091929, -71.03759765625 42.4761485702545))",25,009,00606931,25009,Essex County
347656,0302332112322000,199757,31073,15,8,3,"POLYGON ((-70.83984375 42.5854442573849, -70.8343505859375 42.5854442573849, -70.8343505859375 42.5813996796651, -70.83984375 42.5813996796651, -70.83984375 42.5854442573849))",25,009,00606931,25009,Essex County
347890,0302332103112131,249782,20651,19,15,5,"POLYGON ((-71.0650634765625 42.7712111386259, -71.0595703125 42.7712111386259, -71.0595703125 42.7671786340233, -71.0650634765625 42.7671786340233, -71.0650634765625 42.7712111386259))",25,009,00606931,25009,Essex County
349942,0302332112233001,128844,7111,11,40,6,"POLYGON ((-70.8782958984375 42.5854442573849, -70.872802734375 42.5854442573849, -70.872802734375 42.5813996796651, -70.8782958984375 42.5813996796651, -70.8782958984375 42.5854442573849))",25,009,00606931,25009,Essex County
350448,0302332112321223,188355,11545,15,1,1,"POLYGON ((-70.7904052734375 42.5894885727142, -70.784912109375 42.5894885727142, -70.784912109375 42.5854442573849, -70.7904052734375 42.5854442573849, -70.7904052734375 42.5894885727142))",25,009,00606931,25009,Essex County
351649,0302332130021101,147950,23727,14,13,7,"POLYGON ((-70.9442138671875 42.4883019796022, -70.938720703125 42.4883019796022, -70.938720703125 42.4842511054625, -70.9442138671875 42.4842511054625, -70.9442138671875 42.4883019796022))",25,009,00606931,25009,Essex County
360076,0302332130021203,190472,87268,10,219,30,"POLYGON ((-70.9661865234375 42.4680449858305, -70.960693359375 42.4680449858305, -70.960693359375 42.4639928001706, -70.9661865234375 42.4639928001706, -70.9661865234375 42.4680449858305))",25,009,00606931,25009,Essex County
362378,0302332112222111,114070,11753,14,33,11,"POLYGON ((-70.9771728515625 42.5854442573849, -70.9716796875 42.5854442573849, -70.9716796875 42.5813996796651, -70.9771728515625 42.5813996796651, -70.9771728515625 42.5854442573849))",25,009,00606931,25009,Essex County
363065,0302332130010331,142148,13260,16,28,16,"POLYGON ((-70.8892822265625 42.5287962932037, -70.8837890625 42.5287962932037, -70.8837890625 42.5247480423482, -70.8892822265625 42.5247480423482, -70.8892822265625 42.5287962932037))",25,009,00606931,25009,Essex County
364932,0302332130010322,141385,16381,15,34,14,"POLYGON ((-70.90576171875 42.5247480423482, -70.9002685546875 42.5247480423482, -70.9002685546875 42.5206995291497, -70.90576171875 42.5206995291497, -70.90576171875 42.5247480423482))",25,009,00606931,25009,Essex County
368658,0302332130013301,173347,94225,9,66,20,"POLYGON ((-70.8563232421875 42.5045028529905, -70.850830078125 42.5045028529905, -70.850830078125 42.5004530281256, -70.8563232421875 42.5004530281256, -70.8563232421875 42.5045028529905))",25,009,00606931,25009,Essex County
369379,0302332130012311,181818,46645,12,26,5,"POLYGON ((-70.8892822265625 42.5045028529905, -70.8837890625 42.5045028529905, -70.8837890625 42.5004530281256, -70.8892822265625 42.5004530281256, -70.8892822265625 42.5045028529905))",25,009,00606931,25009,Essex County
369860,0302332112233022,160219,5782,14,10,2,"POLYGON ((-70.8837890625 42.5733097370664, -70.8782958984375 42.5733097370664, -70.8782958984375 42.5692643721938, -70.8837890625 42.5692643721938, -70.8837890625 42.5733097370664))",25,009,00606931,25009,Essex County
374427,0302332112022211,60075,33576,21,1,1,"POLYGON ((-70.9991455078125 42.6985858916984, -70.99365234375 42.6985858916984, -70.99365234375 42.6945486620769, -70.9991455078125 42.6945486620769, -70.9991455078125 42.6985858916984))",25,009,00606931,25009,Essex County
383022,0302332112021300,192318,11222,17,7,4,"POLYGON ((-70.94970703125 42.7308742792848, -70.9442138671875 42.7308742792848, -70.9442138671875 42.7268391495544, -70.94970703125 42.7268391495544, -70.94970703125 42.7308742792848))",25,009,00606931,25009,Essex County
388771,0302332103033003,178463,170784,7,7,3,"POLYGON ((-71.2298583984375 42.7106960056949, -71.224365234375 42.7106960056949, -71.224365234375 42.7066595635104, -71.2298583984375 42.7066595635104, -71.2298583984375 42.7106960056949))",25,009,00606931,25009,Essex County
392388,0302332112222310,343053,131111,14,17,3,"POLYGON ((-70.982666015625 42.5692643721938, -70.9771728515625 42.5692643721938, -70.9771728515625 42.5652187449434, -70.982666015625 42.5652187449434, -70.982666015625 42.5692643721938))",25,009,00606931,25009,Essex County
394105,0302332121110133,51759,56762,8,5,3,"POLYGON ((-71.0650634765625 42.5409394716806, -71.0595703125 42.5409394716806, -71.0595703125 42.5368920078731, -71.0650634765625 42.5368920078731, -71.0650634765625 42.5409394716806))",25,009,00606931,25009,Essex County
395916,0302332130021232,96258,23764,10,5,5,"POLYGON ((-70.960693359375 42.4599403522166, -70.9552001953125 42.4599403522166, -70.9552001953125 42.4558876419717, -70.960693359375 42.4558876419717, -70.960693359375 42.4599403522166))",25,009,00606931,25009,Essex County
400678,0302332121111112,179826,18602,13,19,5,"POLYGON ((-71.026611328125 42.5490336122251, -71.0211181640625 42.5490336122251, -71.0211181640625 42.5449866731323, -71.026611328125 42.5449866731323, -71.026611328125 42.5490336122251))",25,009,00606931,25009,Essex County
403583,0302332130010313,195590,15163,20,74,16,"POLYGON ((-70.8892822265625 42.5328442817131, -70.8837890625 42.5328442817131, -70.8837890625 42.5287962932037, -70.8892822265625 42.5287962932037, -70.8892822265625 42.5328442817131))",25,009,00606931,25009,Essex County
405237,0302332103100230,52092,14559,14,1,1,"POLYGON ((-71.180419921875 42.78733853172, -71.1749267578125 42.78733853172, -71.1749267578125 42.7833070772496, -71.180419921875 42.7833070772496, -71.180419921875 42.78733853172))",25,009,00606931,25009,Essex County
405238,0302332112223303,81058,68153,13,17,7,"POLYGON ((-70.9442138671875 42.5652187449434, -70.938720703125 42.5652187449434, -70.938720703125 42.5611728553181, -70.9442138671875 42.5611728553181, -70.9442138671875 42.5652187449434))",25,009,00606931,25009,Essex County
406567,0302332110232123,112481,7683,18,11,3,"POLYGON ((-70.9002685546875 42.8316672026141, -70.894775390625 42.8316672026141, -70.894775390625 42.8276386362423, -70.9002685546875 42.8276386362423, -70.9002685546875 42.8316672026141))",25,009,00606931,25009,Essex County
408118,0302332103121022,164485,64274,13,6,6,"POLYGON ((-71.1474609375 42.7349091465156, -71.1419677734375 42.7349091465156, -71.1419677734375 42.7308742792848, -71.1474609375 42.7308742792848, -71.1474609375 42.7349091465156))",25,009,00606931,25009,Essex County
411132,0302332103300302,114976,26723,12,26,3,"POLYGON ((-71.16943359375 42.6622413763275, -71.1639404296875 42.6622413763275, -71.1639404296875 42.6582017845567, -71.16943359375 42.6582017845567, -71.16943359375 42.6622413763275))",25,009,00606931,25009,Essex County
412285,0302332130012130,213799,14083,17,63,16,"POLYGON ((-70.894775390625 42.5126017157367, -70.8892822265625 42.5126017157367, -70.8892822265625 42.5085524155286, -70.894775390625 42.5085524155286, -70.894775390625 42.5126017157367))",25,009,00606931,25009,Essex County
413991,0302332112020331,141517,142426,10,4,2,"POLYGON ((-70.9771728515625 42.7228037573273, -70.9716796875 42.7228037573273, -70.9716796875 42.7187681026063, -70.9771728515625 42.7187681026063, -70.9771728515625 42.7228037573273))",25,009,00606931,25009,Essex County
415059,0302332130020210,142268,14817,29,92,6,"POLYGON ((-71.004638671875 42.4720969091929, -70.9991455078125 42.4720969091929, -70.9991455078125 42.4680449858305, -71.004638671875 42.4680449858305, -71.004638671875 42.4720969091929))",25,009,00606931,25009,Essex County
415270,0302332103121021,193382,59557,9,16,6,"POLYGON ((-71.1419677734375 42.7389437512438, -71.136474609375 42.7389437512438, -71.136474609375 42.7349091465156, -71.1419677734375 42.7349091465156, -71.1419677734375 42.7389437512438))",25,009,00606931,25009,Essex County
419284,0302332110221200,63749,2678,92,5,1,"POLYGON ((-70.9716796875 42.8598598150628, -70.9661865234375 42.8598598150628, -70.9661865234375 42.8558330867489, -70.9716796875 42.8558330867489, -70.9716796875 42.8598598150628))",25,009,00606931,25009,Essex County
420053,0302332110221312,243170,12296,14,18,6,"POLYGON ((-70.938720703125 42.8558330867489, -70.9332275390625 42.8558330867489, -70.9332275390625 42.851806095847, -70.938720703125 42.851806095847, -70.938720703125 42.8558330867489))",25,009,00606931,25009,Essex County
422366,0302332110232331,145223,12188,13,52,19,"POLYGON ((-70.8892822265625 42.8195807157959, -70.8837890625 42.8195807157959, -70.8837890625 42.815551361727, -70.8892822265625 42.815551361727, -70.8892822265625 42.8195807157959))",25,009,00606931,25009,Essex County
422568,0302332103122130,232795,61396,13,34,18,"POLYGON ((-71.158447265625 42.7066595635104, -71.1529541015625 42.7066595635104, -71.1529541015625 42.7026228588439, -71.158447265625 42.7026228588439, -71.158447265625 42.7066595635104))",25,009,00606931,25009,Essex County
422831,0302332112022201,335640,40617,11,5,1,"POLYGON ((-71.0101318359375 42.6985858916984, -71.004638671875 42.6985858916984, -71.004638671875 42.6945486620769, -71.0101318359375 42.6945486620769, -71.0101318359375 42.6985858916984))",25,009,00606931,25009,Essex County
424568,0302332103310001,144301,40466,13,5,1,"POLYGON ((-71.0980224609375 42.6824353983862, -71.092529296875 42.6824353983862, -71.092529296875 42.6783971188906, -71.0980224609375 42.6783971188906, -71.0980224609375 42.6824353983862))",25,009,00606931,25009,Essex County
425149,0302332112211002,258630,24534,11,46,6,"POLYGON ((-70.8837890625 42.6783971188906, -70.8782958984375 42.6783971188906, -70.8782958984375 42.6743585769338, -70.8837890625 42.6743585769338, -70.8837890625 42.6783971188906))",25,009,00606931,25009,Essex County
428869,0302332130002013,255544,57272,11,44,8,"POLYGON ((-70.9991455078125 42.5166507536114, -70.99365234375 42.5166507536114, -70.99365234375 42.5126017157367, -70.9991455078125 42.5126017157367, -70.9991455078125 42.5166507536114))",25,009,00606931,25009,Essex County
439968,0302332130010320,133137,11311,19,207,17,"POLYGON ((-70.90576171875 42.5287962932037, -70.9002685546875 42.5287962932037, -70.9002685546875 42.5247480423482, -70.90576171875 42.5247480423482, -70.90576171875 42.5287962932037))",25,009,00606931,25009,Essex County
442789,0302332103100201,136003,64451,19,5,2,"POLYGON ((-71.1859130859375 42.7954006530372, -71.180419921875 42.7954006530372, -71.180419921875 42.7913697236501, -71.1859130859375 42.7913697236501, -71.1859130859375 42.7954006530372))",25,009,00606931,25009,Essex County
444858,0302332110232313,174646,13287,14,51,10,"POLYGON ((-70.8892822265625 42.823609807302, -70.8837890625 42.823609807302, -70.8837890625 42.8195807157959, -70.8892822265625 42.8195807157959, -70.8892822265625 42.823609807302))",25,009,00606931,25009,Essex County
445702,0302332121111020,141103,38044,17,50,2,"POLYGON ((-71.0595703125 42.5449866731323, -71.0540771484375 42.5449866731323, -71.0540771484375 42.5409394716806, -71.0595703125 42.5409394716806, -71.0595703125 42.5449866731323))",25,009,00606931,25009,Essex County
446723,0302332103211220,314101,253232,6,2,2,"POLYGON ((-71.2353515625 42.6582017845567, -71.2298583984375 42.6582017845567, -71.2298583984375 42.6541619303399, -71.2353515625 42.6541619303399, -71.2353515625 42.6582017845567))",25,009,00606931,25009,Essex County
449007,0302332103301202,103854,50532,11,43,16,"POLYGON ((-71.1474609375 42.6622413763275, -71.1419677734375 42.6622413763275, -71.1419677734375 42.6582017845567, -71.1474609375 42.6582017845567, -71.1474609375 42.6622413763275))",25,009,00606931,25009,Essex County
450788,0302332103120312,201450,30041,13,30,8,"POLYGON ((-71.158447265625 42.7268391495544, -71.1529541015625 42.7268391495544, -71.1529541015625 42.7228037573273, -71.158447265625 42.7228037573273, -71.158447265625 42.7268391495544))",25,009,00606931,25009,Essex County
452484,0302332110232212,237287,19780,14,20,11,"POLYGON ((-70.916748046875 42.823609807302, -70.9112548828125 42.823609807302, -70.9112548828125 42.8195807157959, -70.916748046875 42.8195807157959, -70.916748046875 42.823609807302))",25,009,00606931,25009,Essex County
453965,0302332130010101,109288,7696,12,47,6,"POLYGON ((-70.9002685546875 42.5530802889558, -70.894775390625 42.5530802889558, -70.894775390625 42.5490336122251, -70.9002685546875 42.5490336122251, -70.9002685546875 42.5530802889558))",25,009,00606931,25009,Essex County
456264,0302332130022011,186126,10826,14,40,6,"POLYGON ((-70.9991455078125 42.4558876419717, -70.99365234375 42.4558876419717, -70.99365234375 42.4518346694392, -70.9991455078125 42.4518346694392, -70.9991455078125 42.4558876419717))",25,009,00606931,25009,Essex County
408,0302332121033012,81281,96779,7,3,3,"POLYGON ((-71.224365234375 42.4518346694392, -71.2188720703125 42.4518346694392, -71.2188720703125 42.4477814346224, -71.224365234375 42.4477814346224, -71.224365234375 42.4518346694392))",25,017,00606935,25017,Middlesex County
1451,0302332120312101,145377,179335,7,5,2,"POLYGON ((-71.4276123046875 42.391008609205, -71.422119140625 42.391008609205, -71.422119140625 42.3869514405248, -71.4276123046875 42.3869514405248, -71.4276123046875 42.391008609205))",25,017,00606935,25017,Middlesex County
1643,0302332121320201,129331,62875,15,88,17,"POLYGON ((-71.1859130859375 42.3423052785728, -71.180419921875 42.3423052785728, -71.180419921875 42.3382449633508, -71.1859130859375 42.3382449633508, -71.1859130859375 42.3423052785728))",25,017,00606935,25017,Middlesex County
1693,0302332102311323,178405,7055,55,6,4,"POLYGON ((-71.3836669921875 42.6541619303399, -71.378173828125 42.6541619303399, -71.378173828125 42.6501218136802, -71.3836669921875 42.6501218136802, -71.3836669921875 42.6541619303399))",25,017,00606935,25017,Middlesex County
2711,0302332120321331,66084,76623,9,14,2,"POLYGON ((-71.4605712890625 42.3341843859394, -71.455078125 42.3341843859394, -71.455078125 42.330123546342, -71.4605712890625 42.330123546342, -71.4605712890625 42.3341843859394))",25,017,00606935,25017,Middlesex County
2800,0302332121301020,153670,79138,10,95,27,"POLYGON ((-71.1474609375 42.4153461142536, -71.1419677734375 42.4153461142536, -71.1419677734375 42.4112905190282, -71.1474609375 42.4112905190282, -71.1474609375 42.4153461142536))",25,017,00606935,25017,Middlesex County
4161,0302332121321111,177535,69202,10,93,18,"POLYGON ((-71.1090087890625 42.3585439174971, -71.103515625 42.3585439174971, -71.103515625 42.3544846510674, -71.1090087890625 42.3544846510674, -71.1090087890625 42.3585439174971))",25,017,00606935,25017,Middlesex County
4688,0302332121133023,279026,103614,11,8,4,"POLYGON ((-71.0540771484375 42.4437279375248, -71.048583984375 42.4437279375248, -71.048583984375 42.4396741781494, -71.0540771484375 42.4396741781494, -71.0540771484375 42.4437279375248))",25,017,00606935,25017,Middlesex County
5359,0302332121121310,191690,141361,7,92,20,"POLYGON ((-71.114501953125 42.4720969091929, -71.1090087890625 42.4720969091929, -71.1090087890625 42.4680449858305, -71.114501953125 42.4680449858305, -71.114501953125 42.4720969091929))",25,017,00606935,25017,Middlesex County
5970,0302332121230221,465792,41227,12,3,1,"POLYGON ((-71.2738037109375 42.3341843859394, -71.268310546875 42.3341843859394, -71.268310546875 42.330123546342, -71.2738037109375 42.330123546342, -71.2738037109375 42.3341843859394))",25,017,00606935,25017,Middlesex County
8450,0302332102312332,90761,78779,6,11,8,"POLYGON ((-71.422119140625 42.6218336489166, -71.4166259765625 42.6218336489166, -71.4166259765625 42.6177914328235, -71.422119140625 42.6177914328235, -71.422119140625 42.6218336489166))",25,017,00606935,25017,Middlesex County
9206,0302332121131231,194348,23115,13,75,4,"POLYGON ((-71.0430908203125 42.4639928001706, -71.03759765625 42.4639928001706, -71.03759765625 42.4599403522166, -71.0430908203125 42.4599403522166, -71.0430908203125 42.4639928001706))",25,017,00606935,25017,Middlesex County
9278,0302332103203023,215381,19825,13,109,7,"POLYGON ((-71.3177490234375 42.6379998890741, -71.312255859375 42.6379998890741, -71.312255859375 42.6339587226731, -71.3177490234375 42.6339587226731, -71.3177490234375 42.6379998890741))",25,017,00606935,25017,Middlesex County
10334,0302332121123231,112184,30997,7,6,3,"POLYGON ((-71.1309814453125 42.4315658725792, -71.12548828125 42.4315658725792, -71.12548828125 42.4275113263909, -71.1309814453125 42.4275113263909, -71.1309814453125 42.4315658725792))",25,017,00606935,25017,Middlesex County
11871,0302332120112100,163156,91484,8,85,18,"POLYGON ((-71.43310546875 42.5206995291497, -71.4276123046875 42.5206995291497, -71.4276123046875 42.5166507536114, -71.43310546875 42.5166507536114, -71.43310546875 42.5206995291497))",25,017,00606935,25017,Middlesex County
13134,0302332120323303,235100,94923,12,8,5,"POLYGON ((-71.4715576171875 42.3057530030464, -71.466064453125 42.3057530030464, -71.466064453125 42.3016903282445, -71.4715576171875 42.3016903282445, -71.4715576171875 42.3057530030464))",25,017,00606935,25017,Middlesex County
13574,0302332121302013,143709,106721,10,32,14,"POLYGON ((-71.1749267578125 42.3869514405248, -71.16943359375 42.3869514405248, -71.16943359375 42.382894009614, -71.1749267578125 42.382894009614, -71.1749267578125 42.3869514405248))",25,017,00606935,25017,Middlesex County
13846,0302332121231110,141931,66788,11,100,21,"POLYGON ((-71.202392578125 42.3585439174971, -71.1968994140625 42.3585439174971, -71.1968994140625 42.3544846510674, -71.202392578125 42.3544846510674, -71.202392578125 42.3585439174971))",25,017,00606935,25017,Middlesex County
13913,0302332121033132,84567,28770,15,9,4,"POLYGON ((-71.202392578125 42.4437279375248, -71.1968994140625 42.4437279375248, -71.1968994140625 42.4396741781494, -71.202392578125 42.4396741781494, -71.202392578125 42.4437279375248))",25,017,00606935,25017,Middlesex County
14435,0302332121033113,124387,102068,11,24,10,"POLYGON ((-71.1968994140625 42.4518346694392, -71.19140625 42.4518346694392, -71.19140625 42.4477814346224, -71.1968994140625 42.4477814346224, -71.1968994140625 42.4518346694392))",25,017,00606935,25017,Middlesex County
16012,0302332103023232,140122,17402,12,4,4,"POLYGON ((-71.312255859375 42.6864734154178, -71.3067626953125 42.6864734154178, -71.3067626953125 42.6824353983862, -71.312255859375 42.6824353983862, -71.312255859375 42.6864734154178))",25,017,00606935,25017,Middlesex County
17181,0302332120102332,189617,69323,11,8,3,"POLYGON ((-71.510009765625 42.4923525914282, -71.5045166015625 42.4923525914282, -71.5045166015625 42.4883019796022, -71.510009765625 42.4883019796022, -71.510009765625 42.4923525914282))",25,017,00606935,25017,Middlesex County
17449,0302332121121203,191602,91383,14,90,12,"POLYGON ((-71.1419677734375 42.4680449858305, -71.136474609375 42.4680449858305, -71.136474609375 42.4639928001706, -71.1419677734375 42.4639928001706, -71.1419677734375 42.4680449858305))",25,017,00606935,25017,Middlesex County
17881,0302332121121220,119878,25270,9,9,7,"POLYGON ((-71.1474609375 42.4639928001706, -71.1419677734375 42.4639928001706, -71.1419677734375 42.4599403522166, -71.1474609375 42.4599403522166, -71.1474609375 42.4639928001706))",25,017,00606935,25017,Middlesex County
17944,0302332121222331,263670,142839,13,6,3,"POLYGON ((-71.3287353515625 42.3016903282445, -71.3232421875 42.3016903282445, -71.3232421875 42.2976273912846, -71.3287353515625 42.2976273912846, -71.3287353515625 42.3016903282445))",25,017,00606935,25017,Middlesex County
