ProviderNumber,ProviderName
16635,"OTHERWORLDNET - Otherworld Enterprises, Inc."
16637,"MTNNS-AS"
16638,"CORNINGINC01 - Corning Incorporated"
16639,"IRONBOW-ASN - Iron Bow Technologies, LLC"
16640,"SILICON-VALLEY-BANK - Silicon Valley Bank"
16641,"ACBB-BITS-ASN - ACBB-BITS, LLC"
16642,"OGILVY-MATHER-EU AS for Ogilvy & Mather Europe"
16643,"VCU-ASN1 - Virginia Commonwealth University"
16644,"SUNGARDPUBLICSETOR-16644 - Sungard Bi-Tech Inc"
16645,"EPIQSYSTEMS - EPIQ Systems, Inc"
16646,"BI-LO-AS - BI-LO LLC"
16647,"PERIMETERWATCH - Perimeterwatch Technologies, INC"
16648,"PCSIA-NET - Professional Computer Solutions, Inc."
16649,"IUPR-AS - Interamerican University of Puerto Rico"
16650,"AS-MERCHANTS-GATE - Merchants Gate Capital, L.P."
16651,"SOCKET-2 - Socket Internet Services Corporation"
16652,"RISEUP - Riseup Networks"
16653,"CVENT - Cvent, Inc."
16654,"PEAKINTERNETCO - Peak Internet"
16655,"AACAC-CORPASN - Advance America Cash Advance Centers, Inc."
16656,"IVANET-HAWAII - IBASIS INC."
16657,"FIBERTECH-NETWORKS-AS-ROC-NY-US - Fibertech Networks, LLC"
16658,"PVAS-01 - Panavision International, L.P."
16659,"CROWN-AS-1 - Crown Castle USA"
16660,"FEBOX - FeBox LLC"
16661,"ASN-ROGERS-CORPORATION - Rogers Corporation"
16662,"AZUS01 - AstraZeneca Pharmaceuticals LP"
16663,"Uol Colombia"
16664,"CC-COMMUNICATIONS - CC Communications"
16666,"ALLIEDWALLET - Allied Wallet Inc"
16668,"GBPSW-AS - GBP Software, LLC"
16669,"APPLIED-MATERIALS - Applied Materials"
16670,"REG8-ESC - Region 8 Education Service Center"
16671,"SITESOUTH - Xilogix, LLC"
16672,"FEDBID - FedBid, Inc."
16673,"BAYER-US-ASN Bayer Corporation"
16674,"COMPASSGROUP-USA - Compass Group USA Inc"
16675,"CYGCOM - Cygnus Communications Corporation"
16676,"BARCHARTCOM - Barchart.com, Inc."
16677,"AZO - AutoZone Inc"
16678,"AUSRAD - Austin Radiological Association"
16679,"WHI-ASN08 - Wheeling Hospital, Inc."
16680,"RTL-AS - Redwood Toxicology Laboratory, Inc."
16681,"ETS - Educational Testing Service"
16682,"HAGGAR - Haggar Clothing Co."
16683,"MERCERGLOBAL - Mercer Global Advisors, Inc."
16684,"PORTONE - Port One Internet, Inc."
16685,"TIVIT TECNOLOGIA DA INFORMAÇÃO S.A."
16686,"EASYDNS EasyDNS Technologies, Inc."
16687,"KTC-INET - Windstream Communications Inc"
16688,"PEOPLENET-COMM-AS - PeopleNet Communications Corp"
16689,"TV Azteca, S.A.B. de C.V."
16690,"ANADARKO - Anadarko Petroleum Corporation"
16691,"KFORCE - KForce.com"
16692,"HHMI - Howard Hughes Medical Institute"
16694,"ICSI - ICSI"
16695,"WESCANRIC - Westminster Canterbury Corporation"
16696,"ITELNETWORKS - iTel Networks Inc"
16697,"CITY-OF-COLUMBIA-MO - City of Columbia, MO"
16698,"BRIGHTNET - Bright Net of Indiana"
16699,"ENTER-ASN - Enter.Net"
16700,"ROSENET-1 - City of Thomasville Utilities"
16701,"ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS(AFIP)"
16702,"AKAMAI-AS - Akamai Technologies, Inc."
16703,"ASN-CHUBBCORP - The Chubb Corporation"
16704,"DATAEX-CAM1 - Data Exchange Corporation"
16705,"WESTTEL-GRANDCAYMAN - TeleCayman"
16706,"ORTHONE - NORTHEAST ORTHOPAEDIC CLINIC, LLP"
16707,"UNIFI-INC - Unifi, Inc"
16709,"COMITYHOU - Comity Communications, LLC"
16710,"PBS - Public Broadcasting Service"
16711,"EHI-NA-AS-2 - Enterprise Holdings, Inc."
16712,"Seven Internet"
16713,"NOANET-WA - Northwest Open Access Network"
16714,"TENNANT-COMPANY - Tennant"
16715,"ARISTOTLE-ASN - Aristotle Internet Access"
16716,"TOMORROWNOW - TomorrowNow, Inc."
16717,"CRAWKANINTERNET - Craw-Kan Telephone Coop. Inc."
16718,"EMBARQ-HMBL - Embarq Corporation"
16719,"NASD - Financial Industry Regulatory Authority, Inc."
16720,"CHANCE - Chance Telecom"
16721,"ROBECOUSA-BOSTON1 - Robeco Investment Management, Inc."
16722,"VPKK-REDUNDANT-INTERNET - Vedder Price Kaufman & Kammholz, P.C."
16723,"ENSO-CAPITAL - Enso Capital Management LLC"
16724,"ESC-TPA-CW-AP - E Solutions Corporation"
16725,"TAP-PUBLISHING - TAP Publishing Company"
16726,"ROCHE-NUTLEY - Hoffmann LaRoche, Inc."
16727,"WOW-INTERNET - WideOpenWest Finance LLC"
16728,"HIT-ENTERTAINMENT HIT ENTERTAINMENT"
16729,"AS16729 - Royal Bank of Canada"
16730,"AS16730 - Royal Bank of Canada"
16731,"AS16731 - Royal Bank of Canada"
16732,"VELOCOM"
16733,"SYMANTEC-CORPORATION - Symantec Corporation"
16734,"TALKFREE - TalkFree, Inc."
16735,"COMPANHIA DE TELECOMUNICACOES DO BRASIL CENTRAL"
16736,"Javali Informatica Ltda"
16737,"NERDIE-NETWORKS - Nerdie Networks LLC"
16738,"LMI - Logistics Management Institute"
16739,"INVISIMAX-AS-GF - InvisiMax Inc."
16740,"ASN-DYNAMIC - Dynamic Concepts, Inc."
16741,"LUXCOMMUNICATIONS - Lux Communications, LLC"
16742,"Universidad Catolica de Valparaiso"
16743,"FTSBROADBAND - FTS Broadband"
16744,"85FIFTH-ASN - 85 Fifth Holdings, LLC."
16745,"NOVUSINT-AS - Novus International, Inc."
16746,"RELIANTENERGY - RELIANT ENERGY"
16747,"REAL-TIME - Real Time Enterprises, Inc."
16748,"COMCAST-TELECOMM-4 - Comcast Telecommunications, Inc."
16749,"AUTOLIVASP1 - Autoliv asp"
16750,"ECPI - Electronic Corporate Pages, Inc"
16751,"OPEN-TEXT-1 - Open Text Corporation"
16752,"EZXAS - EZX, Inc."
16753,"BELO - BELO Corporation"
16754,"TTL-31 - TRILLIUM TRADING LLC"
16755,"TOPICA - Topica, Inc."
16757,"CPI-CORP-STL - CPI Corp."
16758,"IKON - IKON Office Solutions"
16759,"SWA-MKT-INET - Southwest Airlines Co."
16760,"CBOE - Chicago Board Options Exchange"
16761,"FEDMOG-ASN-01 - Federal-Mogul Corporation"
16762,"Grupo Bimbo, S.A.B. de C.V."
16763,"TIDEWORKS - Tideworks Technology"
16765,"BHN-INDIANAPOLIS - BRIGHT HOUSE NETWORKS, LLC"
16766,"PETFOOD - Pet Food Wholesale, Inc"
16767,"SPI-TC-AZO - Summit Polymers, Inc."
16768,"PCS-BGP - Pacific Crest Securities Inc."
16769,"SOTHEBYS-INC - Sotheby's Inc."
16770,"ASTGEN - Astoria Generating Company, L.P."
16771,"KPCB - KPCB"
16772,"Telefonica Data Uruguay"
16773,"BFG - Big Fish Games, Inc."
16774,"MERCURYINS - Mercury Insurance Group"
16775,"QUICKLOGIC-BGP - QUICKLOGIC CORPORATION"
16776,"MOVE-CORP - Move Sales, Inc."
16777,"NET-PROVPHP - Providence Health Plan"
16779,"IBL-JC - Interactive Brokers LLC"
16780,"Banco SantanderSantiago"
16781,"ARS-NATIONAL - ARS National Services, Inc."
16782,"CORELAB-AS - Core Laboratories"
16783,"INVITE-US - INVITE Networks Incorporated"
16784,"INETZ - Inetz Media Group"
16785,"USANA-INC - USANA Inc"
16786,"ART-COM - Art.com, Inc."
16787,"CHARTER-16787 - Charter Communications"
16788,"TCW-AR - The Computer Works of Arkansas, Inc."
16789,"RENTGROW - Rentgrow Inc"
16790,"TNBCI-TRANSNATIONAL-BANK-CARD - TransNational Bank Card"
16791,"DIGITAL-AGENT - Digital Agent"
16792,"VWNA-AS1 - Volkswagen Group of America, Inc."
16793,"DATA-TRONICS - Data-Tronics Corp"
16794,"ASN-LUX-NYC-01 - Luxor Internet LLC"
16795,"ADBASE - Ad-base Systems, Inc."
16796,"MERLIN-NET - MERLIN"
16798,"IAC-SEARCH-MEDIA - IAC Search & Media Inc"
16799,"PAYMASTER - Hughes Aircraft Employees FCU"
16800,"NBS90"
16801,"SUG-NET - Panhandle Energy"
16802,"AS16802 - Independent Electricity System Operator"
16803,"MYAKKATECH1 - Myakka Technologies, Inc."
16804,"SEI-ISS - SEI INFORMATION TECHNOLOGY"
16805,"LAYER3-ASN-2 - Layered Technologies, Inc."
16806,"AVLNA-INTERNET - AVL North America, Inc."
16807,"IBM-EI - IBM - Events Infrastructure"
16808,"MERCURY-INTERACTIVE-MSP - Mercury Interactive Inc."
16809,"DOLLARBANK - Dollar Bank"
16810,"CAVTEL02 - Cavalier Telephone"
16811,"SPACENET-GTH - Spacenet, Inc."
16812,"SPACENET-ENT - Spacenet, Inc."
16813,"AMNH - American Museum of Natural History"
16814,"NSS S.A."
16815,"CITRIX_ONLINE_LLC-16815 Citrix Online LLC"
16816,"S-NETCOM - S-Net, Inc."
16817,"BHN-BAKERSFIELD - BRIGHT HOUSE NETWORKS, LLC"
16818,"CORESYS - Core Services"
16819,"HAWAII-DENTAL - Hawaii Dental Service 2b. Street"
16820,"FREEBORN - Freeborn & Peters"
16821,"DUQUESNELIGHT - Duquesne Light Company"
16822,"GORTO-US01 - Gortons Inc."
16823,"NORTEXNET - Nortex Communications"
16824,"HARLANNET-ASN - Harlan Municipal Utilities"
16825,"DIRECTLINK - Directlink Technologies Corp."
16826,"JCCC - Johnson County Community College"
16827,"MULTIPHONE-LA - Multiphone Latin America, Inc."
16828,"DGA-SECURITY - DGA Security Systems, Inc."
16829,"TESSCO-MD - Tessco Technologies"
16831,"FUJITSU - Fujitsu Network Communications, Inc."
16832,"SECOM-1 - Secom, Inc"
16833,"PREBONYAMANEUSA - Tullett Prebon Americas Corp."
16834,"WEBSTER-BANK - Webster Bank"
16835,"CENTURYLINK-16835 - CenturyTel Internet Holdings, Inc."
16836,"UDATA - UData"
16837,"VABB - VIRGINIA BROADBAND LLC"
16838,"VERISIGN-CORP - VeriSign Infrastructure & Operations"
16839,"SNC Service-now.com AS Number"
16840,"DAKOTACARE - Dakotacare"
16841,"GBLIT-ASN1 - GLOBAL IT"
16842,"5DL-AS - 5Nines Data, LLC"
16843,"CELLTEX-NETWORKS - Celltex Networks, LLC"
16844,"PSI-DALLAS - Property Solutions International, Inc."
16845,"MAILERMAILER-ASN - MailerMailer LLC"
16847,"Servicios Informativos EMOL S.A."
16848,"NEXG-NOC - NexG"
16849,"NewPlanet S.A"
16850,"SMITH-WESSON - Smith & Wesson"
16851,"NEBRASKALINK - NebraskaLink"
16852,"LVLT-16852 - Level 3 Communications, Inc."
16854,"HCCU-2 - Hapo Community Credit Union"
16856,"BLESSING-HEALTH-SYSTEM-AS - Blessing Hospital"
16857,"CENTEX - Central Texas Communications"
16858,"PTC-TUL-ASN - Perimeter Technology Center, LLC"
16859,"NAPHCARE-INC - NaphCare, Inc."
16860,"HPS-TAMPA-INTERNET-SERVICES - HealthPlan Services, Inc."
16861,"REVELEX - Revelex.com"
16862,"KANSAS-WICHITA-AS - Kansas Hosting, LLC"
16863,"HOMESC - Home Telephone Company, Inc."
16865,"PERSONTEL - PERSON TEL INC"
16866,"TRAIL-NETWORKS - Columbia Networks Inc."
16867,"AS-BANDWIDTH - Bandwidth.com Inc. - Engineering"
16868,"PRAXAIR-INC - Praxair Inc"
16869,"MIRAPOINT-RDOM - Critical Path Inc."
16870,"PERSPECT20 - Perspectrix LLC"
16872,"MMDS-OKC - Meridian Data Systems"
16873,"AS-HARTS - HART SYSTEMS INC"
16874,"SONDA S.A."
16875,"AON-BGP - AON"
16876,"ICANN-DC - ICANN"
16877,"VITAL - Vital Processing Services, LLC"
16878,"ISERVE - iServe Technologies, Inc."
16879,"SUSQ-CTALK - Susquehanna Partners"
16880,"TRENDMICRO Global IDC and Backbone of Trend Micro Inc."
16881,"PRALL-DAVID-C-INTERNET - Prall, Inc., David C"
16882,"CASHMAN-EQUIPMENT-CO-ASN - CASHMAN EQUIPMENT COMPANY"
16883,"WEBUNITED - Continental Broadband Florida, Inc DBA WebUnited"
16884,"TOURM-3 - Tourmaline Partners LLC"
16885,"TELEFÔNICA BRASIL S.A"
16886,"HEB-AS-PRIMARY - HEB Grocery Company LP"
16887,"AETHERNETSANANTONIO - Aethernet LLC"
16888,"ADEC-AK20 - Alaska Distance Education Consortium"
16889,"STEVENS-TECH - Stevens Institute of Technology"
16890,"EDI-ASN1 - Executive Director, Inc."
16891,"Sociedade Mineira de Cultura"
16892,"UCS-NETWORKS - Universal Computer Systems, Inc."
16893,"TZOO - Travelzoo Inc."
16894,"ECGLOBAL-COM - Motorola, Inc."
16895,"SAN-BRUNO-CABLE - San Bruno Cable"
16896,"NCN - NCN"
16897,"RSI-AUS - Renaissance Systems, Inc."
16898,"LOG-NET - Global Technology Services, Ltd."
16900,"SEDGWICK-CMS - Sedgwick Claims Management Services, Inc."
16901,"MUTUAL - MUTUAL OF ENUMCLAW"
16902,"TXU2 - TXU Business Services, Inc."
16903,"TEXAS-SOUTHERN-UNIVERSITY - Texas Southern University"
16904,"ARVIG - Arvig Enterprises Inc."
16905,"NTG - North Texas GigaPOP"
16906,"El Salvador Network, S. A."
16907,"ISPKENYA"
16908,"ATRGNJ01 - Advanced Technologies Research Group, Inc."
16909,"OAKRIDGEINVEST - Oak Ridge Investments, LLC"
16910,"FARM-CREDIT - Farm Credit Financial Partners, Inc."
16911,"TELEFÔNICA BRASIL S.A"
16912,"4-LESS-NETWORK - 4 Less Communications, Inc."
16913,"LOYNO-EDU - Loyola University New Orleans"
16914,"MBHARCH - MBH ARCHITECTS"
16915,"MINNESOTATWINSLLC - Minnesota Twins, LLC"
16916,"IPHONE-16916 - Michigan ComNet, Inc"
16917,"RYSTEC1-NET - Rystec Inc."
16918,"CHRSOLUTIONS - CHR SOLUTIONS INC"
16919,"CBNY - The College Board"
16920,"WINDRIVER - Wind River Systems, Inc."
16921,"INTELIGLOBE-1 - Inteliglobe USA, Inc."
16922,"OUHSC-EDU - University of Oklahoma HSC"
16923,"CMA-11 - CMA CABLEVISION"
16924,"REGAL-NET-CHGO - REGAL SECURITIES, INC."
16925,"AS-DBA-28 - Don Buchwald and Associates, Inc."
16926,"INTERSTATE-BRANDS - Interstate Brands Corporation"
16927,"IHOP-KC - International House of Prayer"
16928,"UTCNET - United Technologies Corp"
16930,"IDLEPATTERN - Idle Pattern Communications, LLC"
16931,"GLOBAL-PAYMENTS-1 - Global Payments, Inc."
16932,"FUTURE-ELECTRONIQUE-INC - Future Electronique Inc"
16933,"ADVANTAS - Advantas Internet Solutions"
16934,"LEACO-INTERNET - Leaco Rural Telephone"
16935,"KSC-NETWORKS - Kingland Systems Corp."
16936,"TECHNORATI - Technorati, Inc."
16938,"EXCEL-NET-01 - Excelsior College"
16939,"CARETECH-SOLUTIONS - CARETECH SOLUTIONS INC"
16940,"VOXEO - Voxeo Corporation"
16942,"CITIZENS - Citizens Telephone Cooperative"
16943,"REDCONDOR - Red Condor"
16944,"XYSTOS-PROD - Aerobic Technologies inc."
16945,"CIMCO4 - CIMCO Communications, Inc."
16946,"OBLONG - OBLONG INDUSTRIES, INC."
16947,"MIMEOCOMINC - Mimeo.com, INC."
16948,"STRATUSWAVE - StratusWave Communications"
16949,"EDAP - Edaptivity.com Inc"
16950,"STONE-LION-CAPITAL - Stone Lion Capital Partners L.P."
16951,"IVANET-LIMA - IBASIS INC."
16952,"LIGHTSPEED - Lightspeed Datalinks"
16953,"ENCOMPASS-DIGITAL-MEDIA-INC - Ascent Media Group, LLC"
16954,"TRT-NET - Three River Telco"
16955,"GETCO-CAR - Getco, LLC"
16956,"CATTARAUGUS-COUNTY - Cattaraugus County"
16957,"IDACORP-NETWORK - IDACORP INC"
16958,"BCIU-22 - Bucks County Intermediate Unit #22"
16959,"SBIS-AMRLTX - AT&T Internet Services"
16960,"Cablevision Red, S.A de C.V."
16961,"HIPCS-DALLAS-SERVER-OFFICE - AT&T Internet Services"
16962,"HIPCS-IRVINE-ACCESS-OFFICE - AT&T Internet Services"
16963,"HIPCS-SOUTHFIELD-ACCESS-OFFICE - AT&T Internet Services"
16964,"HIPCS-NEW-YORK-ACCESS-OFFICE - AT&T Internet Services"
16965,"SBIS-SPFDMO - AT&T Internet Services"
16966,"SBCIDC-LSAN03 - AT&T Internet Services"
16967,"SBCIDC-DLLSTX - AT&T Internet Services"
16968,"ARC-ASN - Architectural Resources Cambridge, Inc."
16969,"PICTORIALOFFSET - Pictorial Offset Corporation"
16970,"INFOSTEWARDS - InfoStewards, Inc."
16971,"CHOICE-COMM - Choice Communications, LLC"
16972,"WEBFEAT - ProQuest LLC"
16973,"Corporacion Hostarica S.A."
16974,"SUNWAVE - Sun Country Cablevision Ltd."
16975,"Altocity.com"
16976,"FIVEK - Five K Technologies"
16977,"DODSONGROUP - The Dodson Group, Inc."
16978,"MOVIECLIPS - Movieclips, Inc"
16980,"UNITEDGUARANTY - United Guaranty"
16981,"EMMIS-1 - Emmis Communications Corp."
16982,"SUSQUEHANNA-26 - Susquehanna Bank"
16984,"ASN-AHPHOSTINGATL - AHPHosting, Inc."
16985,"LIGHTYEAR-NETWORK-SOLUTIONS-LLC - Lightyear Network Solutions, LLC."
16986,"CSM-AS - City of Santa Monica"
16987,"UHAUL-NET - UHAUL INTERNATIONAL, INC."
16988,"IPAPER - International Paper"
16989,"UTMEM - The University of Tennessee, Memphis"
16990,"TRANSBANK S.A."
16991,"CBTS-AS-DC1 - Cincinnati Bell Technology Solutions"
16992,"FLT-15 - FIRST LINK TECHNOLOGY, INC."
16993,"ASN-CFI - Cumberland Farms, Inc."
16994,"VISTA-BANK - Vista Bank"
16995,"QL-ASN-KOP - Qlogic Corporation"
16997,"EPICOR - EPICOR"
16998,"ZEUSINC-AS - Zeus Industrial Products, Inc."
16999,"WFSCORP - World Fuel Services Corporation"
17000,"LONSDALE-AS - Lonsdale Telephone Company, INC"
17001,"UMANITOBA - University of Manitoba"
17002,"AVISTA-CAPITAL - Avista Capital, Inc."
17003,"ZOETIS-INC - Zoetis Inc."
17004,"BROADBANDONDEMAND - KENTUCKYWIMAX"
17005,"NFL3 - National Football League"
17006,"EWNYAS - Executive Workspace, LLC"
17007,"ORBITAL - Orbital Sciences Corporation"
17008,"ADNET-SBU-00 - Booz Allen Hamilton"
17009,"SHOPKO-ASN - ShopKo Stores Operating Co., LLC"
17010,"HOOSIER-ENERGY - Hoosier Energy Rural Electric Cooperative, Inc."
17011,"PPG-INDUSTRIES - PPG Industries, Inc."
17012,"PAYPAL - PayPal, Inc."
17013,"AIRG - AIRG INC"
17014,"NAIILLC - North Atlantic Internet, LLC"
17015,"VIBRANT-NJ - Vibrant Media Inc"
17016,"VOWNET-BROADBAND - The MEDIA COTTAGE Inc."
17017,"DYNAMO-SERVERS - Dynamo Servers"
17018,"QTS-SACRAMENTO-1 - Quality Investment Properties Sacramento, LLC"
17019,"JCHOST-NET - JCHost Internet Services, LLC"
17020,"COMP-SCIENCE - Computer Sciences Corporation"
17021,"UNXCOM1 - Unx, LLC"
17022,"CELADON-TRUCKING-ASN - Celadon Trucking Services"
17023,"MORNEAU-SOBECO - MORNEAU-SOBECO, LP"
17024,"PIMC-HSF - PRIDE INTERNATIONAL MANAGEMENT COMPANY"
17025,"ABOVENET-CUSTOMER - Abovenet Communications, Inc"
17026,"ARBELLA - Arbella Insurance Group"
17027,"PEAK10ATL - Peak 10"
17028,"HR40W - Herzfeld & Rubin, P.C."
17029,"CHP-NET - California Highway Patrol"
17030,"PRIMERICA-17030 - PRIMERICA LIFE INSURANCE COMPANY"
17031,"WINSTON-SALEM-SCHOOLS - Winston-Salem/Forsyth County Schools"
17032,"QUALCOMM-QWBS-SD - Qualcomm, Inc."
17034,"STRATOGENT - Stratogent LLC"
17035,"NBCUNI-17035 - NBC UNIVERSAL"
17036,"LEWTAN-01 - Lewtan Technologies Incorporated"
17037,"GOINET - goINet, Inc."
17038,"FLORI-62 - FTD"
17039,"SUPPLYPRO - SupplyPro, Inc."
17040,"SEATTLE-TIMES - The Seattle Times"
17041,"AS-LRCOMM-ORIG - L.R. Communications, Inc."
17042,"PANTHER-EXPEDITED-SERVICES - Panther II Transportation, Inc."
17043,"AERIS-SJC-BGPNET - Aeris Communications, Inc."
17044,"TRUENORTHCOMM - True North Communications"
17046,"ACTION-COMM - Action Communications, Inc."
17047,"CENTURYTELECOMM - CenturyTel Solutions, LLC"
17048,"AWKNET - Awknet Communications, LLC"
17049,"MBO-NET - MBO Video, LLC"
17050,"MCVP-AS-NO - TAC Partners, Inc."
17051,"PURDUEPHARMA - Purdue Pharma LP"
17052,"TARGET - Target Corporation"
17053,"DADEPAPER - DADE PAPER CO"
17054,"AS17054 - CONTINENTAL BROADBAND PENNSYLVANIA, INC."
17055,"UTAH - University of Utah"
17056,"CIPHERSPACE - CipherSpace, LLC"
17057,"BHUYNH - Best Audio Video Service Inc"
17058,"INTELLIVERSE - Intelliverse"
17059,"FOR-MSP - Fitness On Request LLC"
17060,"E-NETWORKS - E! Networks"
17061,"ROYALEENERGY - Royale Energy Inc"
17062,"HPES - Hewlett-Packard Company"
17063,"BFM-OB-CUST-US - Bloomberg Financial Market"
17064,"TISD-VIC - Testengeer Inc"
17065,"REALMED-PROD - REALMED CORPORATION"
17066,"MISSISSAUGA-OFFICE - Vonage Holdings, Inc."
17067,"REALTRACS-NETWORKS - MTRMLS, Inc."
17068,"ASN-OMIG - Ohio Mutual Insurance Company"
17069,"Cooperativa Telefnica y Otros Servicios deVilla Ge"
17070,"UBSW-CHICAGO - UBS AG"
17071,"UBSW-STAMFORD - UBS AG"
17072,"Iusacell PCS de Mexico, S.A. de C.V."
17073,"ALLEGISGROUP7312 - Allegis Group"
17074,"SEPHIL-YIPES-65-175-52-0-A - Saul Ewing LLP"
17075,"PARA-1 - Parago Inc"
17076,"PIXELPUSHERS - PIXEL PUSHERS, INC."
17077,"NETSTEP - Netstep Access Services"
17078,"ALLENCO - Allen & Company LLC"
17079,"Telemovil El Salvador S.A."
17080,"SCRPRO-001 - The Screening Pros, LLC"
17081,"NKTR-AS02 - Nektar Therapeutics"
17082,"SMART-CITY-MIAMI-BEACH - Smart City Networks, L.P."
17083,"SKYAUCTION - SKYAUCTION.COM"
17085,"AS-STOPLLC - SATELLITE TRACKING OF PEOPLE"
17086,"MILLICOM CABLE EL SALVADOR S.A. DE C.V."
17087,"ROMANI - Roman, Inc."
17088,"CURRENEX - Currenex, Inc."
17089,"CINCCHILDRENS - Childrens Hospital"
17090,"DATABASEBYDESIGNLLC - Database by Design, LLC"
17091,"HOLLCORP - Hollister Incorporated"
17092,"E-GREETINGS - E-Greetings Network"
17093,"FAIRPOINT - FAIRPOINT COMMUNICATIONS, INC."
17094,"MUTOMAHA-I - Mutual of Omaha Insurance Company"
17095,"RVMCORP - Renal Ventures Management LLC"
17096,"SUMMITRACING - SUMMIT RACING"
17097,"AIGLP-ASN - Archview Investment Group, LP"
17098,"BROWNRICE-INTERNET-1 - Brownrice Internet, Inc."
17099,"CALLIS-COMMUNICATIONS-AS - Callis Communications"
17100,"REMAT - Rematics LLC"
17101,"POLA-AS - PORT OF LOS ANGELES"
17102,"IIX-LABS - IIX Corp."
17103,"JRC-NETWORK-SERVICES - Jensen Research Corporation"
17104,"NORTHERN-LEASING-SYSTEMS-INC - Northern Leasing Systems, Inc."
17105,"NISA-STL - NISA Investment Advisors"
17106,"MIDWESTWIRELESS - Cellco Partnership DBA Verizon Wireless"
17107,"AHP-ASN - Adams Hill Capital LLC"
17108,"Honos Data Exchange Informática Ltda"
17109,"HARDSOFT - HardSoft Solutions Inc."
17110,"YAHOO-US2 - Yahoo"
17111,"MEGAPATH4-US - MegaPath Corporation"
17112,"BBDO-NY - BBDO New York"
17113,"COMMRAIL - Access Northeast Inc."
17114,"BANKLINK - Banklink"
17115,"THEWIREINT - The Wireless Inter-net Inc"
17116,"BHPHOTO - B & H Foto & Electronics Corp."
17118,"VIMS - Virginia Institute of Marine Science"
17119,"KAMPUNG - Kampung Communications"
17120,"NBDOE - New Brunswick Department of Education"
17121,"KGBCORPASN - INFONXX, INC."
17122,"PATRINA-ASN - Patrina Corporation"
17123,"TEAM-HEALTH - Team Health, Inc."
17124,"SOUTHARK - South Arkansas Community College"
17125,"LOGIS-ASN-01 - Logistics Plus, Inc."
17126,"E-money"
17127,"KGI-NV - Konami Gaming, Inc."
17128,"THL-PARTNERS - Thomas H. Lee Management Co., LLC"
17129,"FIDALGO-NET-1 - Fidalgo Networking, Inc."
17130,"JONESDAY - Jones, Day, Reavis & Pogue"
17131,"VIBRANT-CA - Vibrant Media Inc"
17132,"MPOOLJXN1 - The Modem Pool"
17133,"NEXTEL-DEV - Nextel Communications, Inc."
17134,"BEDFORDSTMARTINS - Bedford/St. Martin's"
17135,"OHIOU - Ohio University"
17136,"SPANGROUP-UTI - Span Manufacturing Ltd."
17137,"HAWKEYE-SYNIVERSE - Hawkeye Switching LLC."
17138,"EBG - Epstein Becker & Green, P.C."
17139,"CORPCOLO - Corporate Colocation Inc."
17140,"CBRE-US - CBRE, INC."
17141,"TELIUVO-TOR - Teliuvo, Inc."
17142,"THERASOFTONLINE - Therasoft Online Inc"
17143,"WINNTELECOM - Winn Telecom"
17144,"NUANCE-NOD - NUANCE COMMUNICATIONS, INC"
17145,"TEAJAX - THE ENERGY AUTHORITY"
17147,"Ministerio del Interior y de Seguridad Publica - Gobierno de Chile"
17148,"FIRST-NATIONAL"
17149,"GCN-AS - Global Caribbean Network"
17150,"AFCU - America First Credit Union"
17151,"VONAGE - Vonage Holdings, Inc."
17152,"BATES - Bates College"
17153,"NMT-AS - New Mexico Institute of Mining and Technology"
17154,"ALLST-17154 - Allstream Corp."
17155,"LYDALL - Lydall, Inc."
17156,"ZIXI - Zix Corporation"
17157,"CLEAR-CHANNEL-AS-17157 - Clear Channel Communications, Inc."
17158,"DATTO-DSS - Datto, Inc"
17159,"LNT-INFOTECH-FSTI - L&T Infotech Financial Services Technologies Inc."
17160,"MB-BGP-VEREXP - Mango Bay Communications, Inc."
17161,"MARSH Marsh Inc."
17163,"AFGINC-1 - Great American Insurance Company"
17164,"CENTRACAREHEALTHSYSTEM - St. Cloud Hospital"
17165,"THE-PALEY-CENTER-FOR-MEDIA - The Paley Center for Media"
17166,"TRAVELERSPCAS - Travelers Property Casualty Corp."
17167,"MCSNOC01 - Microchip Computer Solutions, Inc."
17168,"TFO-BOSTON - Thomson Reuters U.S. LLC"
17169,"VINCI-ASN - Vinci Consulting, Corp"
17170,"STAGENET - Stage Networks LLC"
17171,"QAS-1720 - Quantum Aviation Solutions, Inc."
17172,"FJDPNET - FIFTH JUDICIAL DISTRICT OF PA"
17173,"PPE - NetLink Services, Inc."
17174,"WALMARTLABS - Cosmix Corporation"
17175,"NSS-UK New Skies Satellites UK AS"
17176,"NETAPPSERV - Network Application Services, Inc."
17178,"MOTIONINDUSTRIES - Motion Industries"
17179,"ETS104 - ExpressPoint Technology Services Inc."
17180,"MFS-TKY - Massachusetts Financial Services"
17181,"YYC - The Calgary Airport Authority"
17182,"ISP Proveedora S.A."
17183,"RAPIDVPS-COM - Infinitum Technologies Inc."
17184,"ATL-CBEYOND - CBEYOND COMMUNICATIONS, LLC"
17185,"QUONIXNET - Quonix Networks Inc."
17186,"DSTHS-ASN - DST Health Solutions"
17187,"EMC-AS17187 - EMC Corporation"
17188,"ACS-OAK - ACS Inc."
17190,"WMATA - Washington Metropolitan Area Transit Authority"
17191,"PTS-TONTITOWN - P.A.M. Transportation Services Inc."
17192,"LEK - LEK Internet Services, Inc."
17193,"NETLINC-SERVICES - Superior Consultant Company"
17194,"LPGAHQ - LPGA"
