,name,address,zip,lat,lon,category
195,LINEAR RETAIL BOSTON #21 LLC,146  MAVERICK ST ,2128.0,42.369996236216494,-71.0381024858677,Commercial
196,LINEAR RETAIL BOSTON #19 LLC,144  MAVERICK ST ,2128.0,42.37001844086963,-71.038165233837,Commercial
197,LINEAR RETAIL BOSTON #18 LLC,9  CHELSEA ST ,2128.0,42.370123970795525,-71.0377944030726,Commercial
198,WE CLOSE THE DEAL LLC,114  ORLEANS ST ,2128.0,42.36986435666145,-71.03669722594917,Commercial
199,SPATARO RICHARD TS,158  156 MAVERICK ST ,2128.0,42.369772261995784,-71.03767855466111,Commercial
200,ONE 35 BREMEN STREET LLC,135  BREMEN ST ,2128.0,42.37200231298996,-71.03473498997951,Commercial
201,MCORLEANS JC FAMILY LP,172  ORLEANS ST ,2128.0,42.3714395673258,-71.0346836195112,Commercial
202,HUDSON 62 REALTY LLC,  PORTER ST ,2128.0,42.371416253159964,-71.03366980514045,Commercial
203,SALVUCCI WILLIAM A TRSTS,119  119HF ORLEANS ST ,2128.0,42.369828624375465,-71.03600177770251,Commercial
204,SALVUCCI WILLIAM A TRSTS,121  127 ORLEANS ST ,2128.0,42.369935147982744,-71.03587887671983,Commercial
205,CITY OF BOSTON,122  COTTAGE ST ,2128.0,42.36928997719115,-71.03444409552621,Education
206,PROGRESSIVE CLUB INC,232  234 MAVERICK ST ,2128.0,42.36861121491135,-71.03488205176535,Social
207,FRANKFORT GOVE LLC,120  GOVE ST ,2128.0,42.370282813288505,-71.03431466729563,Social
208,ROSEWAY REALTY LLC,  COTTAGE ST ,2128.0,42.368439050355356,-71.03438004923363,Social
209,DELUCA ANTHONY F ETAL,28  GENEVA ST ,2128.0,42.369010492370556,-71.03319167039926,Commercial
210,YEBBA NICHOLAS A TRST,10  A10B GENEVA ST ,2128.0,42.36842875005174,-71.03386945555336,Commercial
211,YEBBA BROTHERS LLC MASS LLC,167  COTTAGE ST ,2128.0,42.37014153367815,-71.03195842268725,Commercial
212,GENEVA STREET LLC,  VENICE ST ,2128.0,42.368255785271074,-71.03317133692815,Commercial
213,GENEVA STREET LLC,  VENICE ST ,2128.0,42.36814917442854,-71.03327203694718,Commercial
214,GENEVA STREET LLC,  GENEVA ST ,2128.0,42.36815030021709,-71.03354956520614,Commercial
215,GENEVA STREET LLC,  GENEVA ST ,2128.0,42.36821591628537,-71.03348987344793,Commercial
216,GENEVA STREET LLC,  GENEVA ST ,2128.0,42.36827592422389,-71.03340061897515,Commercial
217,SOLSKINN PROPERTIES LLC,37  39 GENEVA ST ,2128.0,42.36923189327879,-71.03230190412593,Commercial
218,CITY OF BOSTON,365  BREMEN ST ,2128.0,42.37781965999567,-71.02797107770536,Education
219,EXCEL ACADEMY CHARTER SCHOOL,401  BREMEN ST ,2128.0,42.37846127804114,-71.0271816570478,Education
220,413-419 BREMEN STREET LLC,355  BENNINGTON ST ,2128.0,42.37922880979758,-71.02631725459428,Commercial
221,MYETTE JOSEPH,  MOORE ST ,2128.0,42.38172708574827,-71.01800766312947,Commercial
222,RICUPERO JOSEPH M,139  COLERIDGE ST ,2128.0,42.38006299649497,-71.01381579600263,Commercial
223,SALESIAN SOCIETY,  HORACE ST ,2128.0,42.383452399564995,-71.01327524353249,Education
224,S&H FUEL LLC MASS LLC,931  BENNINGTON ST ,2128.0,42.38561627779026,-71.00911659201795,Food access
225,LIMA REALTY II LLC,951  BENNINGTON ST ,2128.0,42.38584118463477,-71.00844857083952,Food access
226,MUI ANGUS K,965  BENNINGTON ST ,2128.0,42.386028194195205,-71.0079029907038,Food access
227,SUFFOLK ORIENT LLC,969  985 BENNINGTON ST ,2128.0,42.38618812573176,-71.00744275392468,Recreation
228,CDZ REALTY TRUST,987  -997 BENNINGTON ST ,2128.0,42.386323740120844,-71.00707154178374,Food access
229,BOSTON SAWYERS FAMILY TRUST,1007  1009 SARATOGA ST ,2128.0,42.38639593996401,-71.00663049309077,Commercial
230,EAST BOSTON YACHT CLUB LESSEE,  RICE ST ,2128.0,42.380886105185624,-71.01184411048581,Recreation
