,name,municipal,zipcode,address,latitude,longitude,buisness_type
2952,Tedeschi Food Shops,Boston,2127,405 W Broadway,42.336953,-71.048061,Food access
2953,Tedeschi Food Shops,Boston,2127,555 E Broadway,42.33534,-71.04196,Food access
2954,Tedeschi Food Shops,Boston,2116,717 Boylston St,42.349651,-71.080095,Food access
3063,Temple Place Market,Boston,2111,55 Temple Pl,42.35483,-71.061788,Food access
3076,Val's Place,Boston,2222,10 Causeway St,42.365165,-71.063096,Food access
3101,White Hen,Boston,2113,342 Hanover St,42.364947,-71.053561,Food access
3124,Yawkey Way Store,Boston,2215,19 Yawkey Way,42.346089,-71.098892,Food access
3133,City Convenience,Boston,2215,702 Commonwealth Ave,42.349727,-71.105355,Food access
3134,City Convenience,Boston,2215,775 Commonwealth Ave,42.35051,-71.109657,Food access
3149,Tedeschi Food Shops,Boston,2109,177 State St # A,42.35937,-71.053394,Food access
3167,CVS Pharmacy,Boston,2111,151 Tremont St # 1,42.354515,-71.063698,Food access
3168,CVS Pharmacy,Boston,2108,263 Washington St,42.357792,-71.058093,Food access
3169,CVS Pharmacy,Boston,2215,518 Commonwealth Ave,42.348505,-71.095938,Food access
3197,CVS/Pharmacy,Boston,2114,191 Cambridge St,42.362092,-71.065915,Food access
3198,CVS/Pharmacy,Boston,2113,218 Hanover St,42.363064,-71.055489,Food access
3199,CVS/Pharmacy,Boston,2108,265 Washington St,42.357979,-71.062564,Food access
3200,CVS/Pharmacy,Boston,2116,285 Columbus Ave,42.347087,-71.07409,Food access
3201,CVS/Pharmacy,Boston,2108,340 Washington St,42.356569,-71.058746,Food access
3202,CVS/Pharmacy,Boston,2115,350 Longwood Ave # 19,42.338871,-71.107274,Food access
3203,CVS/Pharmacy,Boston,2118,874 Harrison Ave,42.333822,-71.076315,Food access
3355,Rite Aid,Boston,2114,100 Cambridge St # 102,42.359957,-71.062137,Food access
3356,Rite Aid,Boston,2128,971 Bennington St,42.386212,-71.007539,Food access
3427,Walgreens,Boston,2116,21 Stanhope St # 23,42.348602,-71.072893,Food access
3456,Brooks Pharmacy,Boston,2110,11 Pearl St,42.356372,-71.054279,Food access
3468,CVS,Boston,2111,151 Tremont St # 1,42.354515,-71.063698,Food access
3473,Cvs Caremark-Retail,Boston,2116,98 Chandler St,42.346259,-71.072883,Food access
3474,Cvs Corp,Boston,2116,25 Holyoke St # 5,42.345026,-71.077989,Food access
3499,Cvs/Caremark Corp,Boston,2118,4a Milford St,42.343797,-71.069218,Food access
3509,CVS/Pharmacy,Boston,2114,155 Charles St,42.360607,-71.070837,Food access
3576,Walgreens,Boston,2116,841 Boylston St,42.348901,-71.082596,Food access
3608,CVS/Pharmacy,Boston,2114,101 Canal St,42.365167,-71.060568,Food access
3609,CVS/Pharmacy,Boston,2215,1249 Boylston St # 1,42.345432,-71.095775,Food access
3610,CVS/Pharmacy,Boston,2108,2 Center Plz,42.359894,-71.060199,Food access
3611,CVS/Pharmacy,Boston,2115,231 Massachusetts Ave,42.344569,-71.08675,Food access
