Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
14,9,9,2,1,1,0,0,0,10,1,7,19,1,0,0,1,1,1,CC,8.1,CC,4.120000000000001,CD,4.040000000000001,CC,4.859999999999999,DC,5.779999999999998,CC,4.75,CD,5.670000000000002,DC,5.149999999999999,DC,5.32,DC,7.82,other
15,7,7,1,1,0,0,1,0,9,1,13,26,4,1,0,4,5,5,DC,9.59,CC,4.09,DD,5.600000000000001,CC,4.0,DC,4.419999999999998,CC,4.510000000000002,CD,3.8200000000000003,DC,4.049999999999997,CC,3.960000000000001,CC,3.730000000000004,draw blood
14,9,8,2,1,2,0,1,2,9,5,11,17,0,0,0,0,0,0,DC,11.56,DC,5.17,DD,4.43,DC,4.300000000000001,DC,4.219999999999999,DC,3.710000000000001,DD,3.8599999999999994,DC,3.6499999999999986,DC,4.18,DC,10.190000000000005,draw blood
13,9,5,1,1,0,1,3,0,4,4,18,26,3,0,0,3,3,3,DC,8.48,DC,4.879999999999999,DD,4.050000000000001,DC,4.699999999999999,DC,4.609999999999999,DC,10.530000000000001,DD,4.609999999999999,DC,4.420000000000002,DC,6.75,DC,4.449999999999996,draw blood
15,9,6,2,1,1,0,0,0,10,1,9,18,1,1,0,1,2,2,CC,7.31,CC,6.580000000000001,CD,5.18,CC,6.02,CC,6.23,CC,5.640000000000001,CD,5.68,DC,4.659999999999997,CC,5.030000000000001,DC,4.93,other
15,9,9,1,1,2,1,1,1,8,5,20,23,0,0,0,0,0,0,CC,8.76,CC,3.8599999999999994,CD,3.51,CC,3.75,CC,3.580000000000002,CC,3.5799999999999983,CD,3.66,CC,5.169999999999998,CC,4.010000000000005,CC,6.659999999999997,full cooperation
12,8,3,1,1,3,2,5,2,6,12,22,24,2,0,1,3,2,3,CC,10.72,DC,5.119999999999999,CD,5.460000000000001,DC,6.550000000000001,DC,6.299999999999997,DC,5.039999999999999,DD,3.740000000000002,DC,4.539999999999999,DC,3.9299999999999997,DC,3.6400000000000006,draw blood
16,7,7,2,1,1,0,4,1,9,6,10,18,0,0,0,0,0,0,CC,7.34,CC,4.82,CD,3.9800000000000004,DC,7.5,CC,4.879999999999999,CC,4.279999999999998,CD,4.470000000000006,DC,4.779999999999994,CC,4.580000000000005,CC,6.519999999999996,tit-for-tat
15,4,5,2,1,7,0,5,3,10,15,8,15,1,0,0,1,1,1,DC,14.44,DC,8.58,DD,6.550000000000001,DC,6.719999999999999,DC,5.950000000000003,DC,5.890000000000001,DD,8.14,DC,5.969999999999999,DC,6.100000000000001,DC,8.22999999999999,draw blood
15,9,7,1,1,1,0,2,2,10,5,10,24,0,2,0,0,2,2,CC,10.82,CC,8.41,CD,4.259999999999998,DC,6.950000000000003,CC,4.59,CC,4.810000000000002,CD,4.509999999999998,DC,4.280000000000001,DC,4.75,DC,4.009999999999998,partial grudge
