City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,,
Attleboro,3,A,933.00,650.00,113.00,30.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,17.00,1759.00,,
Attleboro,3,B,949.00,694.00,94.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,1768.00,,
Attleboro,4,A,815.00,485.00,68.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1402.00,,
Attleboro,4,B,1072.00,1021.00,97.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,2283.00,,
Attleboro,5,A,689.00,349.00,63.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,1150.00,,
Attleboro,5,B,912.00,682.00,94.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,1775.00,,
Attleboro,6,A,818.00,762.00,84.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,1734.00,,
Attleboro,6,B,947.00,774.00,83.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,1864.00,,
Auburn,-,1,934.00,841.00,115.00,14.00,6.00,0.00,0.00,0.00,0.00,31.00,0.00,38.00,1979.00,,
Auburn,-,2,959.00,822.00,87.00,20.00,5.00,0.00,0.00,0.00,0.00,24.00,0.00,33.00,1950.00,,
Auburn,-,3,968.00,839.00,99.00,15.00,6.00,0.00,0.00,0.00,0.00,38.00,0.00,22.00,1987.00,,
Auburn,-,4,830.00,746.00,153.00,29.00,1.00,0.00,0.00,0.00,0.00,16.00,0.00,34.00,1809.00,,
Auburn,-,5,805.00,752.00,99.00,14.00,3.00,0.00,0.00,0.00,0.00,27.00,0.00,30.00,1730.00,,
Avon,-,1,1254.00,1068.00,79.00,40.00,1.00,0.00,0.00,0.00,0.00,16.00,0.00,54.00,2512.00,,
Ayer,-,1,1078.00,729.00,146.00,43.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,15.00,2065.00,,
Ayer,-,2,1084.00,769.00,146.00,22.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,26.00,2111.00,,
Barnstable,-,1,1278.00,1015.00,91.00,24.00,4.00,0.00,0.00,0.00,0.00,21.00,0.00,58.00,2491.00,,
Barnstable,-,2,1022.00,946.00,82.00,32.00,6.00,0.00,0.00,0.00,0.00,25.00,0.00,29.00,2142.00,,
Barnstable,-,3,912.00,643.00,53.00,22.00,6.00,0.00,0.00,0.00,0.00,27.00,0.00,20.00,1683.00,,
Barnstable,-,4,994.00,879.00,73.00,32.00,2.00,0.00,0.00,0.00,0.00,37.00,0.00,20.00,2037.00,,
Barnstable,-,5,1049.00,1115.00,68.00,14.00,5.00,0.00,0.00,0.00,0.00,38.00,0.00,38.00,2327.00,,
Barnstable,-,6,1033.00,1006.00,107.00,29.00,7.00,0.00,0.00,0.00,0.00,35.00,0.00,29.00,2246.00,,
Barnstable,-,7,1252.00,994.00,95.00,29.00,1.00,0.00,0.00,0.00,0.00,43.00,0.00,33.00,2447.00,,
Barnstable,-,8,875.00,575.00,70.00,28.00,2.00,0.00,0.00,0.00,0.00,35.00,0.00,13.00,1598.00,,
