City/Town,Ward,Pct,Baker and Polito,Gonzalez and Palfrey,All Others,Blanks,Total Votes Cast
Brockton,2,B,235.00,312.00,3.00,15.00,565.00
Brockton,2,C,171.00,333.00,0.00,21.00,525.00
Brockton,2,D,408.00,396.00,0.00,28.00,832.00
Brockton,3,A,406.00,436.00,2.00,19.00,863.00
Brockton,3,B,322.00,402.00,0.00,14.00,738.00
Brockton,3,C,822.00,473.00,4.00,28.00,1327.00
Brockton,3,D,822.00,414.00,3.00,41.00,1280.00
Brockton,4,A,213.00,280.00,0.00,10.00,503.00
Brockton,4,B,481.00,469.00,0.00,15.00,965.00
Brockton,4,C,613.00,432.00,0.00,17.00,1062.00
Brockton,4,D,614.00,417.00,0.00,28.00,1059.00
Brockton,5,A,299.00,419.00,3.00,22.00,743.00
Brockton,5,B,652.00,427.00,5.00,37.00,1121.00
Brockton,5,C,426.00,504.00,1.00,41.00,972.00
Brockton,5,D,666.00,470.00,1.00,31.00,1168.00
Brockton,6,A,389.00,392.00,1.00,17.00,799.00
Brockton,6,B,782.00,448.00,2.00,37.00,1269.00
Brockton,6,C,583.00,448.00,1.00,20.00,1052.00
Brockton,6,D,828.00,377.00,2.00,39.00,1246.00
Brockton,7,A,282.00,394.00,0.00,18.00,694.00
Brockton,7,B,475.00,535.00,1.00,29.00,1040.00
Brockton,7,C,406.00,456.00,2.00,31.00,895.00
Brockton,7,D,564.00,460.00,1.00,19.00,1044.00
Brookfield,-,1,1175.00,306.00,8.00,42.00,1531.00
Brookline,-,1,696.00,817.00,1.00,41.00,1555.00
Brookline,-,2,370.00,568.00,0.00,21.00,959.00
Brookline,-,3,652.00,926.00,3.00,36.00,1617.00
Brookline,-,4,589.00,790.00,3.00,30.00,1412.00
Brookline,-,5,710.00,924.00,2.00,54.00,1690.00
Brookline,-,6,678.00,1015.00,4.00,17.00,1714.00
Brookline,-,7,657.00,901.00,0.00,28.00,1586.00
Brookline,-,8,587.00,974.00,0.00,30.00,1591.00
Brookline,-,9,609.00,913.00,2.00,37.00,1561.00
Brookline,-,10,720.00,932.00,1.00,28.00,1681.00
Brookline,-,11,678.00,961.00,1.00,23.00,1663.00
Brookline,-,12,896.00,1006.00,3.00,30.00,1935.00
Brookline,-,13,815.00,830.00,1.00,23.00,1669.00
Brookline,-,14,937.00,747.00,2.00,33.00,1719.00
Brookline,-,15,1067.00,552.00,1.00,34.00,1654.00
Brookline,-,16,828.00,641.00,1.00,31.00,1501.00
Buckland,-,1,521.00,431.00,4.00,20.00,976.00
Burlington,-,1,1387.00,406.00,6.00,59.00,1858.00
Burlington,-,2,757.00,357.00,4.00,36.00,1154.00
Burlington,-,3,1199.00,366.00,4.00,66.00,1635.00
Burlington,-,4,1076.00,380.00,3.00,55.00,1514.00
Burlington,-,5,1325.00,449.00,9.00,71.00,1854.00
Burlington,-,6,1310.00,375.00,9.00,60.00,1754.00
Burlington,-,7,1174.00,483.00,7.00,59.00,1723.00
Cambridge,1,1,690.00,905.00,3.00,34.00,1632.00
Cambridge,1,2,495.00,744.00,4.00,47.00,1290.00
Cambridge,1,3,587.00,858.00,3.00,45.00,1493.00
Cambridge,2,1,329.00,836.00,1.00,38.00,1204.00
Cambridge,2,2,136.00,300.00,0.00,15.00,451.00
Cambridge,2,3,281.00,477.00,1.00,19.00,778.00
Cambridge,3,1,493.00,841.00,1.00,26.00,1361.00
Cambridge,3,2,274.00,618.00,0.00,14.00,906.00
Cambridge,3,2A,196.00,443.00,1.00,20.00,660.00
Cambridge,3,3,329.00,942.00,1.00,26.00,1298.00
Cambridge,4,1,485.00,1103.00,1.00,22.00,1611.00
Cambridge,4,2,514.00,1187.00,2.00,29.00,1732.00
Cambridge,4,3,166.00,369.00,2.00,8.00,545.00
Cambridge,5,1,432.00,1082.00,0.00,38.00,1552.00
Cambridge,5,2,554.00,1048.00,1.00,35.00,1638.00
Cambridge,5,3,381.00,825.00,4.00,24.00,1234.00
Cambridge,6,1,514.00,1182.00,4.00,36.00,1736.00
Cambridge,6,2,489.00,1013.00,1.00,38.00,1541.00
Cambridge,6,3,573.00,1112.00,3.00,28.00,1716.00
Cambridge,7,1,484.00,1143.00,1.00,29.00,1657.00
Cambridge,7,2,251.00,615.00,5.00,20.00,891.00
Cambridge,7,3,140.00,347.00,0.00,6.00,493.00
Cambridge,8,1,368.00,761.00,2.00,22.00,1153.00
Cambridge,8,2,509.00,673.00,0.00,32.00,1214.00
Cambridge,8,3,92.00,213.00,0.00,8.00,313.00
Cambridge,9,1,824.00,1151.00,2.00,40.00,2017.00
Cambridge,9,2,807.00,1190.00,3.00,28.00,2028.00
Cambridge,9,3,676.00,944.00,2.00,35.00,1657.00
Cambridge,10,1,556.00,1327.00,2.00,31.00,1916.00
Cambridge,10,2,600.00,1291.00,0.00,31.00,1922.00
Cambridge,10,3,468.00,1032.00,5.00,25.00,1530.00
Cambridge,11,1,505.00,905.00,0.00,24.00,1434.00
Cambridge,11,2,669.00,1393.00,3.00,40.00,2105.00
Cambridge,11,3,555.00,1096.00,3.00,28.00,1682.00
Canton,-,1,1136.00,471.00,4.00,55.00,1666.00
Canton,-,2,1331.00,579.00,4.00,66.00,1980.00
Canton,-,3,1212.00,457.00,6.00,46.00,1721.00
Canton,-,4,1613.00,455.00,3.00,79.00,2150.00
Canton,-,5,1363.00,466.00,1.00,68.00,1898.00
Canton,-,6,1183.00,412.00,5.00,63.00,1663.00
Carlisle,-,1,1869.00,1052.00,5.00,63.00,2989.00
Carver,-,1,1255.00,324.00,7.00,63.00,1649.00
Carver,-,2,1198.00,327.00,13.00,46.00,1584.00
Carver,-,3,1462.00,318.00,4.00,52.00,1836.00
Charlemont,-,1,344.00,228.00,0.00,21.00,593.00
Charlton,-,1,1150.00,221.00,8.00,29.00,1408.00
Charlton,-,2,1251.00,238.00,2.00,44.00,1535.00
Charlton,-,3,1195.00,255.00,4.00,42.00,1496.00
Charlton,-,4,1116.00,246.00,8.00,32.00,1402.00
Chatham,-,1,3045.00,937.00,16.00,116.00,4114.00
Chelmsford,-,1,1353.00,465.00,4.00,67.00,1889.00
Chelmsford,-,2,1181.00,436.00,0.00,50.00,1667.00
Chelmsford,-,3,1381.00,403.00,8.00,60.00,1852.00
Chelmsford,-,4,1264.00,387.00,5.00,63.00,1719.00
Chelmsford,-,5,1362.00,439.00,8.00,48.00,1857.00
Chelmsford,-,6,1513.00,441.00,4.00,54.00,2012.00
Chelmsford,-,7,1632.00,425.00,9.00,49.00,2115.00
Chelmsford,-,8,1424.00,434.00,5.00,49.00,1912.00
Chelmsford,-,9,1489.00,466.00,9.00,68.00,2032.00
Chelsea,1,1,161.00,204.00,0.00,9.00,374.00
Chelsea,1,2,94.00,113.00,0.00,7.00,214.00
Chelsea,1,3,117.00,176.00,0.00,10.00,303.00
Chelsea,1,4,75.00,207.00,0.00,9.00,291.00
Chelsea,2,1,512.00,400.00,0.00,41.00,953.00
Chelsea,2,2,219.00,287.00,0.00,22.00,528.00
Chelsea,2,3,82.00,119.00,0.00,4.00,205.00
Chelsea,2,4,117.00,202.00,0.00,21.00,340.00
Chelsea,3,1,133.00,184.00,0.00,9.00,326.00
Chelsea,3,2,220.00,253.00,0.00,12.00,485.00
Chelsea,3,3,172.00,196.00,0.00,19.00,387.00
Chelsea,3,4,190.00,223.00,0.00,13.00,426.00
Chelsea,4,1,218.00,218.00,0.00,3.00,439.00
Chelsea,4,2,324.00,190.00,0.00,29.00,543.00
Chelsea,4,3,276.00,229.00,0.00,31.00,536.00
Chelsea,4,4,208.00,162.00,0.00,7.00,377.00
Cheshire,-,1,909.00,560.00,5.00,38.00,1512.00
Chester,-,1,447.00,111.00,0.00,17.00,575.00
Chesterfield,-,1,405.00,235.00,0.00,17.00,657.00
Chicopee,1,A,764.00,294.00,6.00,31.00,1095.00
Chicopee,1,B,1082.00,294.00,5.00,25.00,1406.00
Chicopee,2,A,454.00,250.00,3.00,10.00,717.00
Chicopee,2,B,858.00,276.00,4.00,33.00,1171.00
Chicopee,3,A,594.00,290.00,2.00,31.00,917.00
Chicopee,3,B,497.00,236.00,8.00,13.00,754.00
Chicopee,4,A,661.00,254.00,1.00,23.00,939.00
Chicopee,4,B,597.00,276.00,5.00,40.00,918.00
Chicopee,5,A,721.00,274.00,5.00,25.00,1025.00
Chicopee,5,B,690.00,266.00,6.00,26.00,988.00
Chicopee,6,AN,231.00,65.00,0.00,5.00,301.00
Chicopee,6,AS,523.00,120.00,4.00,22.00,669.00
Chicopee,6,BE,939.00,179.00,7.00,37.00,1162.00
Chicopee,6,BW,176.00,57.00,2.00,8.00,243.00
Chicopee,7,A,461.00,235.00,2.00,20.00,718.00
Chicopee,7,B,522.00,266.00,3.00,29.00,820.00
Chicopee,8,A,834.00,266.00,4.00,34.00,1138.00
Chicopee,8,B,708.00,237.00,7.00,34.00,986.00
Chicopee,9,A,769.00,252.00,6.00,29.00,1056.00
Chicopee,9,B,1064.00,320.00,7.00,31.00,1422.00
Chilmark,-,1,324.00,394.00,0.00,15.00,733.00
Clarksburg,-,1,446.00,250.00,0.00,19.00,715.00
Clinton,-,1,1144.00,351.00,4.00,32.00,1531.00
Clinton,-,2,958.00,365.00,8.00,32.00,1363.00
Clinton,-,3,1017.00,340.00,4.00,32.00,1393.00
Clinton,-,4,912.00,358.00,6.00,38.00,1314.00
Cohasset,-,1,1625.00,448.00,3.00,41.00,2117.00
Cohasset,-,2,1733.00,557.00,7.00,52.00,2349.00
Colrain,-,1,423.00,312.00,0.00,17.00,752.00
Concord,-,1,1184.00,737.00,0.00,39.00,1960.00
Concord,-,2,1410.00,959.00,5.00,44.00,2418.00
Concord,-,3,1325.00,765.00,1.00,53.00,2144.00
Concord,-,4,1355.00,820.00,4.00,62.00,2241.00
Concord,-,5,919.00,477.00,2.00,30.00,1428.00
Conway,-,1,574.00,517.00,0.00,25.00,1116.00
Cummington,-,1,243.00,236.00,0.00,6.00,485.00
Dalton,-,1,876.00,558.00,2.00,41.00,1477.00
Dalton,-,2,882.00,535.00,5.00,37.00,1459.00
Danvers,-,1,1210.00,360.00,9.00,53.00,1632.00
Danvers,-,2,1236.00,336.00,9.00,47.00,1628.00
Danvers,-,3,1017.00,285.00,6.00,48.00,1356.00
Danvers,-,4,1200.00,353.00,7.00,72.00,1632.00
Danvers,-,5,1271.00,306.00,13.00,62.00,1652.00
Danvers,-,6,1389.00,286.00,8.00,55.00,1738.00
Danvers,-,7,1221.00,341.00,9.00,66.00,1637.00
Danvers,-,8,1078.00,300.00,9.00,42.00,1429.00
Dartmouth,-,1,1164.00,389.00,5.00,54.00,1612.00
Dartmouth,-,2,702.00,285.00,2.00,34.00,1023.00
Dartmouth,-,3,60.00,108.00,0.00,0.00,168.00
Dartmouth,-,4,957.00,494.00,3.00,32.00,1486.00
Dartmouth,-,5,1158.00,473.00,0.00,61.00,1692.00
Dartmouth,-,6,770.00,389.00,1.00,45.00,1205.00
Dartmouth,-,7,1139.00,404.00,2.00,65.00,1610.00
Dartmouth,-,8,1344.00,627.00,2.00,69.00,2042.00
Dartmouth,-,9,1472.00,579.00,10.00,67.00,2128.00
Dedham,-,1,1211.00,526.00,5.00,43.00,1785.00
Dedham,-,2,1225.00,520.00,2.00,61.00,1808.00
Dedham,-,3,895.00,572.00,8.00,43.00,1518.00
Dedham,-,4,1158.00,525.00,4.00,57.00,1744.00
Dedham,-,5,1229.00,536.00,14.00,77.00,1856.00
Dedham,-,6,1230.00,599.00,5.00,60.00,1894.00
Dedham,-,7,1316.00,433.00,5.00,80.00,1834.00
Deerfield,-,1,1573.00,1042.00,4.00,34.00,2653.00
Dennis,-,1,1430.00,362.00,2.00,59.00,1853.00
Dennis,-,2,1427.00,345.00,8.00,75.00,1855.00
Dennis,-,3,1003.00,394.00,2.00,32.00,1431.00
Dennis,-,4,1246.00,377.00,5.00,47.00,1675.00
Dennis,-,5,1174.00,353.00,0.00,34.00,1561.00
Dighton,-,1,1192.00,288.00,1.00,46.00,1527.00
Dighton,-,2,1301.00,396.00,3.00,43.00,1743.00
Douglas,-,1,1144.00,208.00,0.00,44.00,1396.00
Douglas,-,2,1110.00,226.00,0.00,37.00,1373.00
Douglas,-,3,956.00,215.00,4.00,27.00,1202.00
Dover,-,1,2331.00,722.00,10.00,70.00,3133.00
Dracut,-,1,944.00,267.00,0.00,53.00,1264.00
Dracut,-,2,868.00,245.00,0.00,37.00,1150.00
Dracut,-,3,1150.00,259.00,0.00,58.00,1467.00
Dracut,-,4,1363.00,313.00,0.00,86.00,1762.00
Dracut,-,5,1133.00,249.00,0.00,68.00,1450.00
Dracut,-,6,1034.00,266.00,0.00,46.00,1346.00
Dracut,-,6A,48.00,11.00,0.00,3.00,62.00
Dracut,-,7,970.00,270.00,0.00,56.00,1296.00
Dracut,-,8,1621.00,293.00,0.00,73.00,1987.00
Dracut,-,9,1167.00,269.00,0.00,56.00,1492.00
Dudley,-,1,1351.00,312.00,1.00,35.00,1699.00
Dudley,-,2,1080.00,243.00,0.00,39.00,1362.00
Dudley,-,3,1012.00,205.00,2.00,34.00,1253.00
Dunstable,-,1,1307.00,364.00,0.00,66.00,1737.00
Duxbury,-,1,1221.00,327.00,6.00,43.00,1597.00
Duxbury,-,2,1191.00,263.00,6.00,32.00,1492.00
Duxbury,-,3,1046.00,296.00,7.00,31.00,1380.00
Duxbury,-,4,1072.00,259.00,5.00,44.00,1380.00
Duxbury,-,5,1093.00,291.00,7.00,40.00,1431.00
Duxbury,-,6,963.00,260.00,5.00,35.00,1263.00
E. Bridgewater,-,1,1201.00,330.00,0.00,73.00,1604.00
E. Bridgewater,-,2,1186.00,340.00,2.00,59.00,1587.00
E. Bridgewater,-,3,1408.00,312.00,4.00,79.00,1803.00
E. Bridgewater,-,4,1140.00,309.00,8.00,60.00,1517.00
E. Brookfield,-,1,855.00,156.00,0.00,22.00,1033.00
E. Longmeadow,-,1,1418.00,394.00,8.00,69.00,1889.00
E. Longmeadow,-,2,1346.00,353.00,7.00,58.00,1764.00
E. Longmeadow,-,3,1476.00,354.00,8.00,72.00,1910.00
E. Longmeadow,-,4,1634.00,323.00,5.00,52.00,2014.00
Eastham,-,1,2234.00,991.00,13.00,69.00,3307.00
Easthampton,-,1,868.00,667.00,5.00,34.00,1574.00
Easthampton,-,2,734.00,980.00,0.00,37.00,1751.00
Easthampton,-,3,770.00,783.00,4.00,30.00,1587.00
Easthampton,-,4,947.00,905.00,0.00,39.00,1891.00
Easthampton,-,5,1272.00,471.00,1.00,60.00,1804.00
Easton,-,1,753.00,223.00,4.00,29.00,1009.00
Easton,-,2,1447.00,493.00,11.00,70.00,2021.00
Easton,-,3,1186.00,394.00,6.00,44.00,1630.00
Easton,-,4,1437.00,442.00,6.00,74.00,1959.00
Easton,-,5,1552.00,517.00,4.00,75.00,2148.00
Easton,-,6,1389.00,433.00,3.00,57.00,1882.00
Edgartown,-,1,1483.00,864.00,1.00,66.00,2414.00
Egremont,-,1,289.00,487.00,0.00,17.00,793.00
Erving,-,1,425.00,216.00,0.00,10.00,651.00
Essex,-,1,1455.00,520.00,2.00,65.00,2042.00
Everett,1,1,423.00,321.00,4.00,28.00,776.00
Everett,1,2,359.00,253.00,0.00,23.00,635.00
Everett,2,1,465.00,349.00,2.00,28.00,844.00
Everett,2,2,392.00,299.00,2.00,35.00,728.00
Everett,3,1,587.00,384.00,3.00,32.00,1006.00
Everett,3,2,476.00,383.00,2.00,30.00,891.00
Everett,4,1,624.00,368.00,7.00,28.00,1027.00
Everett,4,2,428.00,379.00,1.00,26.00,834.00
Everett,5,1,521.00,333.00,1.00,14.00,869.00
Everett,5,2,450.00,391.00,4.00,22.00,867.00
Everett,6,1,539.00,388.00,3.00,22.00,952.00
Everett,6,2,500.00,392.00,4.00,38.00,934.00
Fairhaven,-,1,849.00,392.00,5.00,44.00,1290.00
Fairhaven,-,2,799.00,335.00,3.00,43.00,1180.00
Fairhaven,-,3,642.00,258.00,5.00,24.00,929.00
Fairhaven,-,4,824.00,312.00,4.00,25.00,1165.00
Fairhaven,-,5,949.00,311.00,8.00,51.00,1319.00
Fairhaven,-,6,861.00,324.00,3.00,46.00,1234.00
Fall River,1,A,731.00,314.00,1.00,39.00,1085.00
Fall River,1,B,478.00,213.00,2.00,36.00,729.00
Fall River,1,C,509.00,217.00,0.00,36.00,762.00
Fall River,2,A,302.00,196.00,0.00,28.00,526.00
Fall River,2,B,289.00,181.00,0.00,20.00,490.00
Fall River,2,C,353.00,215.00,0.00,36.00,604.00
Fall River,3,A,542.00,238.00,0.00,38.00,818.00
Fall River,3,B,431.00,257.00,2.00,28.00,718.00
Fall River,3,C,513.00,251.00,3.00,34.00,801.00
Fall River,4,A,321.00,184.00,0.00,37.00,542.00
Fall River,4,B,236.00,193.00,1.00,24.00,454.00
Fall River,4,C,315.00,211.00,0.00,18.00,544.00
Fall River,5,A,186.00,149.00,0.00,16.00,351.00
Fall River,5,B,162.00,119.00,0.00,16.00,297.00
Fall River,5,B1,41.00,22.00,0.00,5.00,68.00
Fall River,5,C,268.00,182.00,0.00,25.00,475.00
Fall River,6,A,603.00,261.00,0.00,59.00,923.00
Fall River,6,B,364.00,225.00,2.00,26.00,617.00
Fall River,6,C,475.00,242.00,2.00,28.00,747.00
Fall River,6,C1,5.00,7.00,0.00,0.00,12.00
Fall River,7,A,539.00,267.00,5.00,40.00,851.00
Fall River,7,B,324.00,226.00,1.00,23.00,574.00
Fall River,7,C,451.00,251.00,2.00,30.00,734.00
Fall River,8,A,411.00,255.00,1.00,34.00,701.00
Fall River,8,B,776.00,328.00,2.00,42.00,1148.00
Fall River,8,C,851.00,345.00,2.00,61.00,1259.00
Fall River,9,A,1057.00,391.00,2.00,64.00,1514.00
Fall River,9,B,670.00,258.00,2.00,64.00,994.00
Fall River,9,C,598.00,342.00,0.00,70.00,1010.00
Falmouth,-,1,1299.00,882.00,9.00,38.00,2228.00
Falmouth,-,2,1250.00,603.00,2.00,58.00,1913.00
Falmouth,-,3,1337.00,433.00,5.00,48.00,1823.00
Falmouth,-,4,1405.00,475.00,8.00,45.00,1933.00
Falmouth,-,5,1605.00,573.00,13.00,53.00,2244.00
Falmouth,-,6,1390.00,588.00,4.00,55.00,2037.00
Falmouth,-,7,1331.00,458.00,6.00,52.00,1847.00
Falmouth,-,8,1354.00,497.00,7.00,43.00,1901.00
Falmouth,-,9,1234.00,433.00,2.00,51.00,1720.00
Fitchburg,1,A,498.00,243.00,5.00,9.00,755.00
Fitchburg,1,B,686.00,261.00,2.00,37.00,986.00
Fitchburg,2,A,406.00,248.00,3.00,17.00,674.00
Fitchburg,2,B,812.00,277.00,6.00,34.00,1129.00
Fitchburg,3,A,1219.00,313.00,5.00,41.00,1578.00
Fitchburg,3,B,831.00,301.00,1.00,36.00,1169.00
Fitchburg,4,A,335.00,151.00,1.00,21.00,508.00
Fitchburg,4,B,493.00,236.00,0.00,15.00,744.00
Fitchburg,5,A,1111.00,300.00,8.00,52.00,1471.00
Fitchburg,5,B,316.00,251.00,4.00,11.00,582.00
Fitchburg,6,A,932.00,298.00,5.00,48.00,1283.00
Fitchburg,6,B,513.00,262.00,0.00,27.00,802.00
Florida,-,1,193.00,116.00,0.00,16.00,325.00
Foxborough,-,1,1112.00,388.00,5.00,45.00,1550.00
Foxborough,-,2,1383.00,370.00,6.00,57.00,1816.00
Foxborough,-,3,1323.00,419.00,4.00,69.00,1815.00
Foxborough,-,4,1313.00,379.00,6.00,57.00,1755.00
Foxborough,-,5,1245.00,373.00,1.00,46.00,1665.00
Framingham,-,1,1297.00,607.00,10.00,49.00,1963.00
Framingham,-,2,1576.00,710.00,8.00,40.00,2334.00
Framingham,-,3,1067.00,545.00,4.00,33.00,1649.00
Framingham,-,4,1307.00,666.00,2.00,40.00,2015.00
Framingham,-,5,1218.00,593.00,1.00,35.00,1847.00
Framingham,-,6,1291.00,544.00,4.00,33.00,1872.00
Framingham,-,7,1089.00,563.00,4.00,29.00,1685.00
Framingham,-,8,1013.00,613.00,1.00,35.00,1662.00
Framingham,-,9,689.00,462.00,4.00,28.00,1183.00
Framingham,-,10,471.00,376.00,1.00,13.00,861.00
Framingham,-,11,1362.00,624.00,3.00,48.00,2037.00
Framingham,-,12,516.00,374.00,5.00,25.00,920.00
Framingham,-,13,655.00,465.00,3.00,28.00,1151.00
Framingham,-,14,393.00,313.00,2.00,11.00,719.00
Framingham,-,15,492.00,363.00,2.00,23.00,880.00
Framingham,-,16,209.00,200.00,2.00,9.00,420.00
Framingham,-,17,152.00,264.00,2.00,8.00,426.00
Framingham,-,18,417.00,331.00,2.00,16.00,766.00
Franklin,-,1,1300.00,419.00,6.00,55.00,1780.00
Franklin,-,2,1396.00,391.00,9.00,37.00,1833.00
Franklin,-,3,1315.00,443.00,9.00,43.00,1810.00
Franklin,-,4,1641.00,394.00,8.00,36.00,2079.00
Franklin,-,5,1536.00,458.00,6.00,44.00,2044.00
Franklin,-,6,1188.00,407.00,9.00,52.00,1656.00
Franklin,-,7,1511.00,450.00,5.00,31.00,1997.00
Franklin,-,8,1527.00,377.00,9.00,55.00,1968.00
Freetown,-,1,973.00,264.00,9.00,28.00,1274.00
Freetown,-,2,1026.00,285.00,5.00,47.00,1363.00
Freetown,-,3,1004.00,250.00,9.00,53.00,1316.00
Gardner,1,A,691.00,185.00,4.00,22.00,902.00
Gardner,1,B,282.00,57.00,1.00,12.00,352.00
Gardner,2,A,591.00,146.00,2.00,19.00,758.00
Gardner,2,B,699.00,163.00,4.00,28.00,894.00
Gardner,3,A,453.00,144.00,3.00,15.00,615.00
Gardner,3,B,644.00,164.00,1.00,18.00,827.00
Gardner,4,A,483.00,208.00,0.00,22.00,713.00
Gardner,4,B,287.00,130.00,0.00,12.00,429.00
Gardner,5,A,442.00,136.00,1.00,15.00,594.00
Gardner,5,B,704.00,158.00,7.00,23.00,892.00
Georgetown,-,1,1178.00,297.00,2.00,71.00,1548.00
Georgetown,-,2,1040.00,267.00,6.00,59.00,1372.00
Georgetown,-,3,975.00,260.00,0.00,56.00,1291.00
Gill,-,1,460.00,325.00,2.00,10.00,797.00
Gloucester,1,1,1073.00,523.00,8.00,55.00,1659.00
Gloucester,1,2,905.00,356.00,6.00,40.00,1307.00
Gloucester,2,1,650.00,284.00,1.00,24.00,959.00
Gloucester,2,2,660.00,304.00,3.00,22.00,989.00
Gloucester,3,1,754.00,355.00,3.00,24.00,1136.00
Gloucester,3,2,892.00,321.00,4.00,27.00,1244.00
Gloucester,4,1,1061.00,325.00,4.00,39.00,1429.00
Gloucester,4,2,1133.00,623.00,3.00,48.00,1807.00
Gloucester,5,1,1240.00,440.00,6.00,35.00,1721.00
Gloucester,5,2,1153.00,445.00,6.00,47.00,1651.00
Goshen,-,1,331.00,212.00,0.00,6.00,549.00
Gosnold,-,1,43.00,13.00,0.00,1.00,57.00
Grafton,-,1,1256.00,370.00,0.00,39.00,1665.00
Grafton,-,2,1275.00,429.00,3.00,37.00,1744.00
Grafton,-,3,1280.00,417.00,5.00,42.00,1744.00
Grafton,-,4,1036.00,362.00,2.00,32.00,1432.00
Grafton,-,5,1441.00,404.00,3.00,43.00,1891.00
Granby,-,1,1163.00,441.00,1.00,53.00,1658.00
Granby,-,2,1085.00,302.00,0.00,44.00,1431.00
Granville,-,1,599.00,166.00,0.00,21.00,786.00
Great Barrington,-,A,354.00,493.00,0.00,20.00,867.00
Great Barrington,-,B,330.00,525.00,1.00,13.00,869.00
Great Barrington,-,C,213.00,402.00,1.00,9.00,625.00
Great Barrington,-,D,347.00,513.00,1.00,15.00,876.00
Greenfield,-,1,510.00,286.00,0.00,13.00,809.00
Greenfield,-,2,656.00,385.00,0.00,17.00,1058.00
Greenfield,-,3,461.00,392.00,0.00,21.00,874.00
Greenfield,-,4,497.00,445.00,0.00,12.00,954.00
Greenfield,-,5,415.00,462.00,0.00,15.00,892.00
Greenfield,-,6,355.00,504.00,0.00,23.00,882.00
Greenfield,-,7,399.00,258.00,1.00,13.00,671.00
Greenfield,-,8,269.00,378.00,1.00,15.00,663.00
Greenfield,-,9,374.00,221.00,1.00,17.00,613.00
Groton,-,1,1350.00,612.00,8.00,48.00,2018.00
Groton,-,2,1370.00,486.00,1.00,52.00,1909.00
Groton,-,3,1331.00,516.00,1.00,62.00,1910.00
Groveland,-,1,1285.00,366.00,9.00,63.00,1723.00
Groveland,-,2,1349.00,335.00,8.00,77.00,1769.00
Hadley,-,1,1571.00,1154.00,7.00,49.00,2781.00
Halifax,-,1,1462.00,370.00,16.00,72.00,1920.00
Halifax,-,2,1324.00,384.00,3.00,64.00,1775.00
Hamilton,-,1,1118.00,377.00,6.00,36.00,1537.00
Hamilton,-,2,1087.00,357.00,3.00,29.00,1476.00
Hamilton,-,3,800.00,281.00,4.00,21.00,1106.00
Hampden,-,1,2017.00,422.00,9.00,80.00,2528.00
Hancock,-,1,217.00,126.00,0.00,15.00,358.00
Hanover,-,1,1501.00,327.00,10.00,71.00,1909.00
Hanover,-,2,1509.00,334.00,13.00,78.00,1934.00
Hanover,-,3,1457.00,340.00,11.00,65.00,1873.00
Hanover,-,4,1505.00,316.00,4.00,58.00,1883.00
Hanson,-,1,1385.00,311.00,5.00,71.00,1772.00
Hanson,-,2,1367.00,364.00,6.00,87.00,1824.00
Hanson,-,3,1198.00,329.00,5.00,76.00,1608.00
Hardwick,-,1,856.00,253.00,2.00,30.00,1141.00
Harvard,-,1,2019.00,1211.00,13.00,129.00,3372.00
Harwich,-,1,1448.00,469.00,9.00,57.00,1983.00
Harwich,-,2,1476.00,430.00,5.00,43.00,1954.00
Harwich,-,3,1448.00,430.00,7.00,48.00,1933.00
Harwich,-,4,1220.00,437.00,3.00,36.00,1696.00
Hatfield,-,1,1086.00,701.00,2.00,40.00,1829.00
Haverhill,1,1,377.00,246.00,4.00,14.00,641.00
Haverhill,1,2,591.00,399.00,1.00,29.00,1020.00
Haverhill,1,3,570.00,256.00,1.00,27.00,854.00
Haverhill,2,1,620.00,310.00,0.00,33.00,963.00
Haverhill,2,2,791.00,242.00,3.00,32.00,1068.00
Haverhill,2,3,374.00,253.00,4.00,18.00,649.00
Haverhill,3,1,234.00,273.00,1.00,9.00,517.00
Haverhill,3,2,455.00,289.00,1.00,12.00,757.00
Haverhill,3,3,526.00,303.00,5.00,17.00,851.00
Haverhill,4,1,961.00,265.00,6.00,52.00,1284.00
Haverhill,4,2,1162.00,319.00,6.00,60.00,1547.00
Haverhill,4,3,956.00,323.00,6.00,49.00,1334.00
Haverhill,5,1,843.00,369.00,5.00,33.00,1250.00
Haverhill,5,2,1063.00,284.00,3.00,55.00,1405.00
Haverhill,5,3,1247.00,291.00,8.00,54.00,1600.00
Haverhill,6,1,751.00,294.00,2.00,35.00,1082.00
Haverhill,6,2,785.00,328.00,4.00,39.00,1156.00
Haverhill,6,3,1011.00,294.00,6.00,40.00,1351.00
Haverhill,7,1,972.00,322.00,5.00,44.00,1343.00
Haverhill,7,2,817.00,280.00,6.00,37.00,1140.00
Haverhill,7,3,1131.00,312.00,5.00,56.00,1504.00
Hawley,-,1,110.00,60.00,2.00,0.00,172.00
Heath,-,1,210.00,146.00,1.00,14.00,371.00
Hingham,-,1,1416.00,439.00,2.00,50.00,1907.00
Hingham,-,2,1499.00,566.00,9.00,73.00,2147.00
Hingham,-,3,1507.00,530.00,1.00,52.00,2090.00
Hingham,-,4,1538.00,412.00,6.00,51.00,2007.00
Hingham,-,5,1117.00,283.00,5.00,52.00,1457.00
Hingham,-,5A,717.00,272.00,0.00,18.00,1007.00
Hingham,-,6,1473.00,424.00,5.00,80.00,1982.00
Hinsdale,-,1,557.00,331.00,0.00,34.00,922.00
Holbrook,-,1,730.00,323.00,8.00,38.00,1099.00
