City/Town,Ward,Pct,Republican,Democratic,Falchuk/ Jennings,Lively/ Saunders,Mccormick/ Post,All Others,Blanks,Total Votes Cast
Boston,17,4,147.00,708.00,24.00,4.00,7.00,1.00,8.00,899.00
Boston,17,5,18.00,267.00,5.00,2.00,3.00,1.00,9.00,305.00
Boston,17,6,81.00,451.00,16.00,5.00,3.00,0.00,9.00,565.00
Boston,17,7,20.00,239.00,4.00,3.00,2.00,1.00,2.00,271.00
Boston,17,8,37.00,397.00,4.00,1.00,0.00,1.00,4.00,444.00
Boston,17,9,67.00,378.00,15.00,0.00,2.00,1.00,10.00,473.00
Boston,17,10,56.00,538.00,16.00,1.00,0.00,1.00,9.00,621.00
Boston,17,11,21.00,191.00,4.00,3.00,1.00,0.00,3.00,223.00
Boston,17,12,43.00,402.00,12.00,1.00,0.00,0.00,4.00,462.00
Boston,17,13,208.00,537.00,14.00,7.00,4.00,1.00,10.00,781.00
Boston,17,14,78.00,423.00,10.00,2.00,3.00,2.00,6.00,524.00
Boston,18,1,55.00,725.00,16.00,1.00,4.00,0.00,10.00,811.00
Boston,18,2,22.00,549.00,10.00,4.00,1.00,1.00,7.00,594.00
Boston,18,3,35.00,654.00,12.00,1.00,2.00,0.00,4.00,708.00
Boston,18,4,46.00,639.00,9.00,3.00,1.00,1.00,13.00,712.00
Boston,18,5,57.00,697.00,14.00,5.00,3.00,1.00,7.00,784.00
Boston,18,6,86.00,787.00,13.00,1.00,2.00,1.00,9.00,899.00
Boston,18,7,122.00,485.00,24.00,3.00,1.00,2.00,6.00,643.00
Boston,18,8,180.00,874.00,11.00,5.00,2.00,1.00,19.00,1092.00
Boston,18,9,207.00,524.00,15.00,4.00,2.00,0.00,7.00,759.00
Boston,18,10,251.00,772.00,42.00,7.00,5.00,1.00,10.00,1088.00
Boston,18,11,108.00,465.00,15.00,1.00,7.00,0.00,6.00,602.00
Boston,18,12,202.00,507.00,14.00,3.00,6.00,0.00,6.00,738.00
Boston,18,13,78.00,293.00,8.00,1.00,6.00,0.00,1.00,387.00
Boston,18,14,62.00,335.00,5.00,2.00,2.00,0.00,3.00,409.00
Boston,18,15,65.00,552.00,12.00,1.00,1.00,1.00,7.00,639.00
Boston,18,16,396.00,514.00,28.00,5.00,6.00,0.00,13.00,962.00
Boston,18,17,209.00,520.00,18.00,3.00,3.00,1.00,10.00,764.00
Boston,18,18,238.00,652.00,11.00,1.00,5.00,0.00,18.00,925.00
Boston,18,19,274.00,725.00,24.00,6.00,5.00,1.00,7.00,1042.00
Boston,18,20,438.00,616.00,21.00,2.00,3.00,0.00,8.00,1088.00
Boston,18,21,69.00,753.00,9.00,1.00,0.00,0.00,8.00,840.00
Boston,18,22,338.00,546.00,25.00,6.00,2.00,1.00,9.00,927.00
Boston,18,23,37.00,405.00,3.00,4.00,2.00,0.00,8.00,459.00
Boston,19,1,69.00,572.00,39.00,1.00,6.00,0.00,9.00,696.00
Boston,19,2,368.00,637.00,24.00,3.00,5.00,1.00,10.00,1048.00
Boston,19,3,135.00,489.00,15.00,2.00,2.00,2.00,1.00,646.00
Boston,19,4,93.00,757.00,25.00,1.00,1.00,2.00,7.00,886.00
Boston,19,5,121.00,651.00,14.00,2.00,4.00,0.00,8.00,800.00
Boston,19,6,126.00,856.00,36.00,3.00,5.00,3.00,11.00,1040.00
Boston,19,7,132.00,714.00,34.00,2.00,2.00,0.00,8.00,892.00
Boston,19,8,102.00,407.00,18.00,1.00,3.00,1.00,5.00,537.00
Boston,19,9,67.00,396.00,17.00,0.00,0.00,1.00,3.00,484.00
Boston,19,10,171.00,644.00,30.00,2.00,6.00,2.00,6.00,861.00
Boston,19,11,65.00,421.00,11.00,2.00,1.00,0.00,9.00,509.00
Boston,19,12,109.00,498.00,17.00,2.00,2.00,3.00,8.00,639.00
Boston,19,13,95.00,411.00,27.00,1.00,0.00,2.00,8.00,544.00
Boston,20,1,255.00,531.00,22.00,2.00,3.00,2.00,7.00,822.00
Boston,20,2,217.00,585.00,31.00,5.00,8.00,4.00,11.00,861.00
Boston,20,3,376.00,488.00,30.00,5.00,4.00,0.00,12.00,915.00
Boston,20,4,175.00,546.00,25.00,4.00,4.00,2.00,7.00,763.00
Boston,20,5,454.00,455.00,14.00,4.00,7.00,3.00,9.00,946.00
Boston,20,6,480.00,539.00,30.00,8.00,6.00,0.00,7.00,1070.00
Boston,20,7,257.00,341.00,18.00,1.00,5.00,1.00,9.00,632.00
Boston,20,8,232.00,396.00,24.00,1.00,4.00,0.00,7.00,664.00
Boston,20,9,232.00,423.00,24.00,3.00,6.00,1.00,5.00,694.00
Boston,20,10,554.00,502.00,23.00,3.00,6.00,1.00,5.00,1094.00
Boston,20,11,225.00,267.00,11.00,4.00,4.00,2.00,11.00,524.00
Boston,20,12,356.00,280.00,22.00,2.00,4.00,2.00,7.00,673.00
Boston,20,13,321.00,268.00,24.00,3.00,2.00,1.00,9.00,628.00
Boston,20,14,336.00,273.00,11.00,4.00,2.00,0.00,12.00,638.00
Boston,20,15,472.00,470.00,38.00,2.00,5.00,2.00,19.00,1008.00
Boston,20,16,545.00,495.00,29.00,12.00,7.00,1.00,10.00,1099.00
Boston,20,17,594.00,558.00,36.00,7.00,5.00,3.00,14.00,1217.00
Boston,20,18,285.00,285.00,20.00,2.00,4.00,1.00,4.00,601.00
Boston,20,19,329.00,279.00,16.00,1.00,2.00,0.00,8.00,635.00
Boston,20,20,419.00,480.00,34.00,2.00,2.00,1.00,9.00,947.00
Boston,21,1,140.00,299.00,13.00,1.00,2.00,0.00,17.00,472.00
Boston,21,2,22.00,88.00,2.00,2.00,0.00,0.00,1.00,115.00
Boston,21,3,56.00,182.00,19.00,1.00,1.00,1.00,1.00,261.00
Boston,21,4,45.00,147.00,14.00,0.00,1.00,2.00,4.00,213.00
Boston,21,5,70.00,254.00,23.00,3.00,4.00,0.00,6.00,360.00
Boston,21,6,99.00,286.00,14.00,2.00,4.00,0.00,5.00,410.00
Boston,21,7,108.00,303.00,15.00,1.00,3.00,2.00,7.00,439.00
Boston,21,8,91.00,332.00,27.00,2.00,2.00,1.00,4.00,459.00
Boston,21,9,111.00,347.00,21.00,0.00,6.00,0.00,6.00,491.00
Boston,21,10,134.00,279.00,14.00,1.00,2.00,1.00,5.00,436.00
Boston,21,11,169.00,300.00,32.00,1.00,3.00,0.00,8.00,513.00
Boston,21,12,221.00,312.00,22.00,2.00,1.00,2.00,18.00,578.00
Boston,21,13,407.00,414.00,32.00,5.00,5.00,1.00,15.00,879.00
Boston,21,14,63.00,218.00,13.00,1.00,1.00,0.00,5.00,301.00
Boston,21,15,98.00,251.00,13.00,3.00,1.00,1.00,4.00,371.00
Boston,21,16,215.00,396.00,25.00,2.00,3.00,4.00,6.00,651.00
Boston,22,1,167.00,347.00,24.00,3.00,5.00,0.00,17.00,563.00
Boston,22,2,187.00,453.00,23.00,5.00,8.00,0.00,9.00,685.00
Boston,22,3,207.00,385.00,29.00,5.00,9.00,2.00,10.00,647.00
Boston,22,4,157.00,301.00,20.00,1.00,2.00,1.00,4.00,486.00
Boston,22,5,114.00,237.00,19.00,3.00,1.00,0.00,11.00,385.00
Boston,22,6,121.00,202.00,21.00,1.00,7.00,1.00,4.00,357.00
Boston,22,7,187.00,366.00,27.00,4.00,7.00,0.00,14.00,605.00
Boston,22,8,203.00,282.00,15.00,4.00,5.00,0.00,6.00,515.00
Boston,22,9,204.00,271.00,19.00,2.00,1.00,0.00,4.00,501.00
Boston,22,10,215.00,424.00,23.00,4.00,9.00,1.00,14.00,690.00
Boston,22,11,175.00,239.00,15.00,4.00,5.00,2.00,3.00,443.00
Boston,22,12,161.00,248.00,10.00,6.00,2.00,0.00,12.00,439.00
Boston,22,13,147.00,215.00,13.00,2.00,2.00,2.00,9.00,390.00
Bourne,-,1,639.00,327.00,30.00,7.00,10.00,0.00,8.00,1021.00
Bourne,-,2,816.00,448.00,22.00,32.00,14.00,0.00,10.00,1342.00
Bourne,-,3,352.00,209.00,22.00,4.00,8.00,0.00,6.00,601.00
Bourne,-,4,739.00,492.00,32.00,8.00,12.00,0.00,11.00,1294.00
Bourne,-,5,720.00,467.00,31.00,13.00,13.00,0.00,10.00,1254.00
Bourne,-,6,580.00,342.00,19.00,5.00,5.00,0.00,1.00,952.00
Bourne,-,7,648.00,381.00,37.00,5.00,6.00,0.00,7.00,1084.00
Boxborough,-,1,1045.00,944.00,59.00,16.00,9.00,5.00,24.00,2102.00
Boxford,-,1,845.00,324.00,19.00,3.00,6.00,0.00,9.00,1206.00
Boxford,-,2,860.00,360.00,38.00,6.00,8.00,0.00,8.00,1280.00
Boxford,-,3,837.00,347.00,13.00,3.00,4.00,0.00,5.00,1209.00
Boylston,-,1,1277.00,710.00,47.00,11.00,6.00,6.00,18.00,2075.00
Braintree,-,1A,727.00,446.00,25.00,10.00,6.00,1.00,19.00,1234.00
Braintree,-,1B,633.00,394.00,36.00,8.00,3.00,0.00,11.00,1085.00
Braintree,-,2A,818.00,483.00,28.00,7.00,7.00,1.00,12.00,1356.00
Braintree,-,2B,785.00,452.00,28.00,8.00,15.00,2.00,20.00,1310.00
Braintree,-,3A,547.00,443.00,26.00,9.00,9.00,0.00,9.00,1043.00
Braintree,-,3B,567.00,509.00,35.00,10.00,8.00,1.00,9.00,1139.00
Braintree,-,4A,577.00,404.00,19.00,13.00,13.00,0.00,6.00,1032.00
Braintree,-,4B,493.00,390.00,34.00,4.00,8.00,0.00,10.00,939.00
Braintree,-,5A,704.00,438.00,32.00,10.00,11.00,1.00,15.00,1211.00
Braintree,-,5B,749.00,486.00,32.00,7.00,13.00,0.00,14.00,1301.00
Braintree,-,6A,864.00,510.00,34.00,8.00,7.00,0.00,13.00,1436.00
Braintree,-,6B,759.00,507.00,36.00,4.00,13.00,1.00,11.00,1331.00
Brewster,-,1,864.00,777.00,48.00,20.00,10.00,1.00,12.00,1732.00
Brewster,-,2,825.00,771.00,35.00,10.00,10.00,1.00,28.00,1680.00
Brewster,-,3,786.00,653.00,57.00,15.00,11.00,1.00,11.00,1534.00
Bridgewater,-,1,1078.00,522.00,33.00,19.00,18.00,0.00,16.00,1686.00
Bridgewater,-,2,939.00,481.00,40.00,10.00,5.00,0.00,15.00,1490.00
Bridgewater,-,3,1033.00,555.00,41.00,4.00,11.00,2.00,17.00,1663.00
Bridgewater,-,4,434.00,258.00,18.00,3.00,16.00,1.00,4.00,734.00
Bridgewater,-,5,252.00,166.00,16.00,2.00,1.00,0.00,8.00,445.00
Bridgewater,-,6,538.00,360.00,36.00,10.00,8.00,1.00,8.00,961.00
Bridgewater,-,7,785.00,488.00,45.00,11.00,10.00,1.00,19.00,1359.00
Brimfield,-,1,891.00,419.00,85.00,20.00,15.00,0.00,16.00,1446.00
Brockton,1,A,186.00,412.00,10.00,3.00,5.00,1.00,13.00,630.00
Brockton,1,B,368.00,535.00,29.00,10.00,9.00,1.00,12.00,964.00
Brockton,1,C,287.00,423.00,16.00,4.00,6.00,0.00,8.00,744.00
Brockton,1,D,544.00,553.00,43.00,9.00,4.00,0.00,17.00,1170.00
Brockton,2,A,43.00,388.00,7.00,5.00,7.00,0.00,13.00,463.00
Brockton,2,B,79.00,325.00,10.00,3.00,2.00,0.00,6.00,425.00
Brockton,2,C,63.00,297.00,9.00,5.00,5.00,0.00,13.00,392.00
Brockton,2,D,225.00,434.00,16.00,7.00,4.00,1.00,7.00,694.00
Brockton,3,A,217.00,460.00,8.00,3.00,7.00,0.00,4.00,699.00
Brockton,3,B,141.00,436.00,19.00,2.00,0.00,0.00,7.00,605.00
Brockton,3,C,490.00,547.00,34.00,9.00,8.00,0.00,8.00,1096.00
Brockton,3,D,542.00,506.00,25.00,6.00,9.00,0.00,9.00,1097.00
Brockton,4,A,69.00,301.00,13.00,6.00,2.00,0.00,13.00,404.00
Brockton,4,B,237.00,495.00,17.00,10.00,1.00,0.00,14.00,774.00
Brockton,4,C,353.00,495.00,33.00,7.00,6.00,3.00,12.00,909.00
Brockton,4,D,295.00,463.00,25.00,9.00,13.00,1.00,18.00,824.00
Brockton,5,A,105.00,425.00,18.00,5.00,6.00,0.00,6.00,565.00
Brockton,5,B,338.00,536.00,31.00,9.00,8.00,0.00,4.00,926.00
Brockton,5,C,195.00,471.00,21.00,6.00,9.00,0.00,7.00,709.00
Brockton,5,D,409.00,526.00,40.00,10.00,4.00,0.00,23.00,1012.00
Brockton,6,A,187.00,332.00,18.00,4.00,6.00,0.00,8.00,555.00
Brockton,6,B,442.00,492.00,26.00,14.00,7.00,0.00,6.00,987.00
Brockton,6,C,292.00,444.00,24.00,12.00,8.00,1.00,14.00,795.00
Brockton,6,D,519.00,434.00,29.00,5.00,10.00,2.00,12.00,1011.00
Brockton,7,A,103.00,425.00,12.00,6.00,3.00,0.00,7.00,556.00
Brockton,7,B,191.00,601.00,21.00,7.00,2.00,0.00,12.00,834.00
Brockton,7,C,193.00,540.00,11.00,5.00,7.00,0.00,9.00,765.00
Brockton,7,D,320.00,496.00,26.00,8.00,11.00,0.00,10.00,871.00
Brookfield,-,1,719.00,421.00,61.00,17.00,12.00,1.00,14.00,1245.00
Brookline,-,1,333.00,680.00,24.00,4.00,6.00,2.00,20.00,1069.00
Brookline,-,2,172.00,501.00,20.00,4.00,4.00,0.00,14.00,715.00
Brookline,-,3,338.00,874.00,21.00,2.00,2.00,0.00,8.00,1245.00
Brookline,-,4,294.00,701.00,30.00,3.00,3.00,3.00,13.00,1047.00
Brookline,-,5,351.00,919.00,30.00,3.00,4.00,4.00,5.00,1316.00
Brookline,-,6,272.00,965.00,29.00,2.00,4.00,0.00,18.00,1290.00
Brookline,-,7,264.00,738.00,29.00,6.00,2.00,2.00,11.00,1052.00
Brookline,-,8,252.00,847.00,30.00,3.00,5.00,2.00,8.00,1147.00
Brookline,-,9,241.00,823.00,32.00,3.00,8.00,0.00,13.00,1120.00
Brookline,-,10,300.00,778.00,27.00,2.00,6.00,1.00,8.00,1122.00
Brookline,-,11,282.00,836.00,36.00,4.00,5.00,0.00,10.00,1173.00
Brookline,-,12,426.00,984.00,36.00,5.00,5.00,1.00,11.00,1468.00
Brookline,-,13,429.00,772.00,28.00,2.00,2.00,0.00,6.00,1239.00
Brookline,-,14,499.00,712.00,30.00,3.00,8.00,0.00,12.00,1264.00
Brookline,-,15,677.00,663.00,43.00,5.00,4.00,0.00,9.00,1401.00
Brookline,-,16,437.00,695.00,31.00,2.00,4.00,0.00,12.00,1181.00
Buckland,-,1,242.00,438.00,36.00,14.00,4.00,0.00,16.00,750.00
Burlington,-,1,967.00,584.00,27.00,9.00,12.00,1.00,19.00,1619.00
Burlington,-,2,440.00,379.00,26.00,3.00,11.00,0.00,6.00,865.00
Burlington,-,3,762.00,562.00,36.00,14.00,7.00,2.00,20.00,1403.00
Burlington,-,4,649.00,518.00,31.00,6.00,11.00,1.00,11.00,1227.00
Burlington,-,5,871.00,572.00,39.00,12.00,11.00,0.00,13.00,1518.00
Burlington,-,6,834.00,521.00,43.00,8.00,13.00,0.00,12.00,1431.00
Burlington,-,7,682.00,523.00,30.00,12.00,11.00,1.00,12.00,1271.00
Cambridge,1,1,253.00,589.00,24.00,6.00,7.00,2.00,7.00,888.00
Cambridge,1,2,205.00,634.00,28.00,4.00,11.00,1.00,14.00,897.00
Cambridge,1,3,216.00,691.00,24.00,5.00,5.00,4.00,23.00,968.00
Cambridge,2,1,93.00,730.00,17.00,1.00,4.00,3.00,21.00,869.00
Cambridge,2,2,39.00,93.00,7.00,3.00,4.00,1.00,2.00,149.00
Cambridge,2,3,108.00,280.00,12.00,2.00,2.00,0.00,5.00,409.00
Cambridge,3,1,187.00,722.00,45.00,9.00,7.00,2.00,18.00,990.00
Cambridge,3,2,82.00,516.00,13.00,1.00,2.00,1.00,8.00,623.00
Cambridge,3,2A,60.00,338.00,17.00,2.00,3.00,0.00,7.00,427.00
Cambridge,3,3,123.00,741.00,33.00,3.00,6.00,1.00,9.00,916.00
Cambridge,4,1,131.00,982.00,36.00,4.00,8.00,2.00,16.00,1179.00
Cambridge,4,2,180.00,992.00,37.00,7.00,6.00,1.00,18.00,1241.00
Cambridge,4,3,55.00,319.00,8.00,0.00,1.00,0.00,5.00,388.00
Cambridge,5,1,129.00,826.00,24.00,7.00,4.00,3.00,16.00,1009.00
Cambridge,5,2,174.00,973.00,32.00,3.00,1.00,6.00,10.00,1199.00
Cambridge,5,3,115.00,705.00,32.00,2.00,3.00,3.00,10.00,870.00
Cambridge,6,1,190.00,963.00,35.00,3.00,3.00,4.00,15.00,1213.00
Cambridge,6,2,188.00,817.00,26.00,6.00,5.00,3.00,8.00,1053.00
Cambridge,6,3,232.00,955.00,37.00,7.00,3.00,1.00,18.00,1253.00
Cambridge,7,1,161.00,1010.00,27.00,3.00,5.00,2.00,11.00,1219.00
Cambridge,7,2,107.00,477.00,19.00,1.00,2.00,2.00,10.00,618.00
Cambridge,7,3,57.00,299.00,3.00,3.00,0.00,0.00,1.00,363.00
Cambridge,8,1,143.00,642.00,17.00,0.00,2.00,3.00,8.00,815.00
Cambridge,8,2,184.00,673.00,16.00,2.00,0.00,1.00,14.00,890.00
Cambridge,8,3,39.00,170.00,6.00,2.00,0.00,0.00,1.00,218.00
Cambridge,9,1,360.00,1232.00,43.00,3.00,8.00,3.00,12.00,1661.00
Cambridge,9,2,299.00,1104.00,47.00,5.00,7.00,3.00,10.00,1475.00
Cambridge,9,3,306.00,1003.00,37.00,5.00,5.00,5.00,5.00,1366.00
Cambridge,10,1,235.00,1157.00,39.00,5.00,10.00,4.00,16.00,1466.00
Cambridge,10,2,233.00,1219.00,25.00,4.00,6.00,3.00,12.00,1502.00
Cambridge,10,3,153.00,894.00,29.00,3.00,2.00,1.00,6.00,1088.00
Cambridge,11,1,85.00,644.00,9.00,1.00,2.00,1.00,4.00,746.00
Cambridge,11,2,255.00,1200.00,55.00,6.00,5.00,8.00,13.00,1542.00
Cambridge,11,3,212.00,935.00,44.00,7.00,5.00,0.00,12.00,1215.00
Canton,-,1,692.00,515.00,48.00,9.00,8.00,1.00,6.00,1279.00
Canton,-,2,867.00,650.00,40.00,5.00,12.00,0.00,18.00,1592.00
Canton,-,3,750.00,508.00,27.00,9.00,7.00,0.00,5.00,1306.00
Canton,-,4,1101.00,553.00,35.00,12.00,3.00,0.00,17.00,1721.00
Canton,-,5,863.00,569.00,51.00,4.00,9.00,2.00,11.00,1509.00
Canton,-,6,753.00,542.00,33.00,10.00,12.00,1.00,16.00,1367.00
Carlisle,-,1,1231.00,1194.00,62.00,12.00,12.00,0.00,30.00,2541.00
Carver,-,1,809.00,423.00,61.00,20.00,10.00,0.00,10.00,1333.00
Carver,-,2,753.00,402.00,42.00,13.00,12.00,0.00,13.00,1235.00
Carver,-,3,904.00,526.00,42.00,14.00,18.00,1.00,21.00,1526.00
Charlemont,-,1,157.00,226.00,42.00,13.00,3.00,0.00,3.00,444.00
Charlton,-,1,710.00,332.00,38.00,12.00,14.00,0.00,14.00,1120.00
Charlton,-,2,812.00,325.00,34.00,9.00,10.00,1.00,12.00,1203.00
Charlton,-,3,774.00,330.00,31.00,10.00,4.00,0.00,9.00,1158.00
Charlton,-,4,734.00,276.00,39.00,10.00,9.00,1.00,14.00,1083.00
Chatham,-,1,2063.00,1424.00,60.00,18.00,14.00,3.00,24.00,3606.00
Chelmsford,-,1,889.00,561.00,76.00,15.00,20.00,0.00,8.00,1569.00
Chelmsford,-,2,665.00,483.00,52.00,11.00,12.00,0.00,14.00,1237.00
Chelmsford,-,3,911.00,576.00,45.00,12.00,12.00,3.00,17.00,1576.00
Chelmsford,-,4,843.00,474.00,37.00,4.00,13.00,1.00,16.00,1388.00
Chelmsford,-,5,868.00,568.00,64.00,13.00,15.00,3.00,19.00,1550.00
Chelmsford,-,6,993.00,596.00,56.00,9.00,10.00,0.00,17.00,1681.00
Chelmsford,-,7,1137.00,649.00,56.00,9.00,10.00,1.00,19.00,1881.00
Chelmsford,-,8,903.00,631.00,50.00,7.00,11.00,0.00,14.00,1616.00
Chelmsford,-,9,989.00,602.00,52.00,5.00,17.00,2.00,13.00,1680.00
Chelsea,1,1,82.00,170.00,7.00,3.00,3.00,0.00,10.00,275.00
Chelsea,1,2,41.00,121.00,0.00,0.00,1.00,0.00,8.00,171.00
Chelsea,1,3,44.00,167.00,4.00,5.00,0.00,0.00,9.00,229.00
Chelsea,1,4,20.00,136.00,1.00,3.00,1.00,0.00,14.00,175.00
Chelsea,2,1,284.00,407.00,18.00,2.00,6.00,0.00,59.00,776.00
Chelsea,2,2,45.00,191.00,6.00,1.00,3.00,0.00,14.00,260.00
Chelsea,2,3,30.00,104.00,4.00,0.00,2.00,0.00,8.00,148.00
Chelsea,2,4,28.00,164.00,1.00,1.00,1.00,0.00,13.00,208.00
Chelsea,3,1,57.00,184.00,10.00,1.00,5.00,0.00,12.00,269.00
Chelsea,3,2,87.00,224.00,8.00,3.00,0.00,0.00,12.00,334.00
Chelsea,3,3,58.00,222.00,5.00,2.00,4.00,0.00,29.00,320.00
Chelsea,3,4,86.00,232.00,5.00,2.00,3.00,0.00,9.00,337.00
Chelsea,4,1,105.00,207.00,6.00,4.00,3.00,0.00,18.00,343.00
Chelsea,4,2,203.00,259.00,18.00,7.00,6.00,0.00,17.00,510.00
Chelsea,4,3,167.00,230.00,7.00,0.00,6.00,0.00,10.00,420.00
Chelsea,4,4,127.00,225.00,7.00,1.00,3.00,0.00,17.00,380.00
Cheshire,-,1,378.00,576.00,17.00,15.00,18.00,0.00,9.00,1013.00
Chester,-,1,272.00,130.00,44.00,13.00,7.00,0.00,1.00,467.00
Chesterfield,-,1,229.00,253.00,48.00,6.00,6.00,0.00,7.00,549.00
Chicopee,1,A,490.00,331.00,89.00,17.00,14.00,5.00,20.00,966.00
Chicopee,1,B,638.00,450.00,127.00,26.00,20.00,2.00,23.00,1286.00
Chicopee,2,A,205.00,250.00,73.00,19.00,11.00,2.00,15.00,575.00
Chicopee,2,B,517.00,381.00,94.00,23.00,23.00,3.00,11.00,1052.00
Chicopee,3,A,374.00,320.00,73.00,19.00,8.00,1.00,7.00,802.00
Chicopee,3,B,248.00,251.00,69.00,18.00,13.00,2.00,14.00,615.00
Chicopee,4,A,387.00,316.00,93.00,15.00,11.00,1.00,8.00,831.00
Chicopee,4,B,352.00,350.00,71.00,30.00,8.00,3.00,8.00,822.00
Chicopee,5,A,418.00,326.00,88.00,22.00,11.00,2.00,19.00,886.00
Chicopee,5,B,381.00,346.00,81.00,15.00,13.00,2.00,11.00,849.00
Chicopee,6,AN,138.00,96.00,35.00,3.00,4.00,0.00,3.00,279.00
Chicopee,6,AS,307.00,206.00,76.00,14.00,9.00,1.00,14.00,627.00
Chicopee,6,BE,647.00,321.00,84.00,15.00,11.00,3.00,17.00,1098.00
Chicopee,6,BW,104.00,70.00,15.00,6.00,6.00,0.00,5.00,206.00
Chicopee,7,A,223.00,241.00,50.00,25.00,15.00,1.00,14.00,569.00
Chicopee,7,B,270.00,292.00,57.00,30.00,11.00,1.00,10.00,671.00
Chicopee,8,A,454.00,308.00,121.00,29.00,16.00,0.00,14.00,942.00
Chicopee,8,B,391.00,298.00,72.00,25.00,10.00,0.00,15.00,811.00
Chicopee,9,A,462.00,372.00,90.00,25.00,13.00,0.00,19.00,981.00
Chicopee,9,B,598.00,426.00,112.00,26.00,17.00,3.00,21.00,1203.00
Chilmark,-,1,136.00,344.00,16.00,2.00,5.00,0.00,8.00,511.00
Clarksburg,-,1,174.00,377.00,6.00,5.00,2.00,0.00,6.00,570.00
Clinton,-,1,639.00,499.00,34.00,13.00,9.00,1.00,15.00,1210.00
Clinton,-,2,514.00,459.00,37.00,17.00,16.00,1.00,19.00,1063.00
Clinton,-,3,578.00,456.00,31.00,8.00,14.00,1.00,13.00,1101.00
Clinton,-,4,510.00,521.00,31.00,14.00,9.00,0.00,14.00,1099.00
Cohasset,-,1,1193.00,536.00,30.00,4.00,7.00,2.00,11.00,1783.00
Cohasset,-,2,1111.00,641.00,48.00,8.00,13.00,1.00,14.00,1836.00
Colrain,-,1,227.00,303.00,40.00,11.00,8.00,0.00,12.00,601.00
Concord,-,1,681.00,890.00,40.00,3.00,6.00,0.00,5.00,1625.00
Concord,-,2,653.00,1051.00,47.00,8.00,4.00,1.00,16.00,1780.00
Concord,-,3,779.00,966.00,34.00,4.00,4.00,1.00,15.00,1803.00
Concord,-,4,779.00,1022.00,47.00,7.00,7.00,1.00,17.00,1880.00
Concord,-,5,548.00,589.00,25.00,2.00,6.00,0.00,16.00,1186.00
Conway,-,1,281.00,608.00,43.00,10.00,3.00,0.00,15.00,960.00
Cummington,-,1,120.00,248.00,36.00,12.00,4.00,2.00,3.00,425.00
Dalton,-,1,333.00,590.00,39.00,29.00,8.00,0.00,14.00,1013.00
Dalton,-,2,356.00,623.00,26.00,20.00,5.00,0.00,13.00,1043.00
Danvers,-,1,649.00,473.00,31.00,12.00,10.00,1.00,7.00,1183.00
Danvers,-,2,712.00,496.00,33.00,8.00,8.00,0.00,15.00,1272.00
Danvers,-,3,637.00,391.00,37.00,16.00,3.00,0.00,12.00,1096.00
Danvers,-,4,792.00,456.00,33.00,16.00,12.00,3.00,12.00,1324.00
Danvers,-,5,832.00,526.00,44.00,9.00,7.00,1.00,7.00,1426.00
Danvers,-,6,920.00,479.00,37.00,11.00,6.00,1.00,11.00,1465.00
Danvers,-,7,806.00,452.00,34.00,9.00,9.00,1.00,12.00,1323.00
Danvers,-,8,627.00,395.00,29.00,4.00,7.00,1.00,8.00,1071.00
Dartmouth,-,1,592.00,404.00,31.00,23.00,12.00,0.00,14.00,1076.00
Dartmouth,-,2,383.00,359.00,14.00,17.00,9.00,1.00,14.00,797.00
Dartmouth,-,3,29.00,58.00,5.00,2.00,2.00,2.00,1.00,99.00
Dartmouth,-,4,397.00,495.00,25.00,15.00,8.00,1.00,7.00,948.00
Dartmouth,-,5,602.00,586.00,29.00,20.00,6.00,1.00,11.00,1255.00
Dartmouth,-,6,373.00,464.00,19.00,17.00,10.00,1.00,20.00,904.00
Dartmouth,-,7,607.00,503.00,27.00,28.00,17.00,1.00,17.00,1200.00
Dartmouth,-,8,714.00,747.00,26.00,21.00,8.00,0.00,22.00,1538.00
Dartmouth,-,9,817.00,683.00,31.00,22.00,9.00,2.00,21.00,1585.00
Dedham,-,1,811.00,674.00,30.00,5.00,1.00,1.00,13.00,1535.00
Dedham,-,2,713.00,652.00,35.00,12.00,14.00,5.00,14.00,1445.00
Dedham,-,3,551.00,519.00,39.00,9.00,6.00,3.00,17.00,1144.00
Dedham,-,4,658.00,556.00,43.00,8.00,11.00,0.00,8.00,1284.00
Dedham,-,5,767.00,621.00,42.00,13.00,11.00,0.00,17.00,1471.00
Dedham,-,6,726.00,663.00,40.00,10.00,7.00,0.00,9.00,1455.00
Dedham,-,7,881.00,614.00,41.00,9.00,3.00,1.00,12.00,1561.00
Deerfield,-,1,779.00,1265.00,142.00,23.00,22.00,2.00,27.00,2260.00
Dennis,-,1,897.00,649.00,31.00,11.00,13.00,0.00,7.00,1608.00
Dennis,-,2,893.00,709.00,40.00,11.00,14.00,0.00,15.00,1682.00
Dennis,-,3,561.00,491.00,39.00,7.00,14.00,0.00,14.00,1126.00
Dennis,-,4,747.00,589.00,28.00,11.00,20.00,0.00,8.00,1403.00
Dennis,-,5,643.00,523.00,38.00,6.00,16.00,0.00,12.00,1238.00
Dighton,-,1,704.00,410.00,29.00,18.00,11.00,0.00,14.00,1186.00
Dighton,-,2,661.00,419.00,35.00,20.00,10.00,1.00,20.00,1166.00
Douglas,-,1,737.00,276.00,29.00,5.00,7.00,0.00,11.00,1065.00
Douglas,-,2,732.00,288.00,31.00,5.00,6.00,0.00,18.00,1080.00
