name,type,address,zip,lat,lon
Harvard Medical School Quadrangle,open space,Fenway/Kenmore,,42.336369700000006,-71.10371624939204
Claymont Terrace,open space,Dorchester,,42.293347,-71.052237
Lucy Stone Schoolyard,open space,Dorchester,,42.2955905,-71.0713456950764
Dartmouth Street Mall,open space,Back Bay/Beacon Hill,,42.3518291,-71.07836282936988
Ramler Park,open space,Fenway/Kenmore,,42.3425487,-71.10073159709637
Richmond & North Streets Park I,open space,Central Boston,,42.36310829999999,-71.05343071699282
Nashua Street Park,open space,Central Boston,,42.3675206,-71.06726168125
Crittenton Hospital,open space,Allston-Brighton,,42.3533,-71.1657
Chestnut Hill Reservoir,open space,Allston-Brighton,,42.33511665,-71.15833763463203
O'Day Playground,open space,South End,,42.34071755,-71.07531925516466
Fan Pier Plaza,open space,South Boston,,42.35467365,-71.04716241266723
Martin's Park,open space,South Boston,,42.35274115,-71.04914130548265
Christian Science Plaza,open space,Fenway/Kenmore,,42.3443592,-71.08349133979884
Braddock Park,open space,South End,,42.34438165,-71.07882009290037
Jenney Plaza,open space,Central Boston,,42.3511816,-71.075939
Reggie Wong Park,open space,Central Boston,,42.3494994,-71.05874931634452
Lewis Mall,open space,East Boston,,42.3681833,-71.04029912396223
Veterans Park I,open space,East Boston,,42.37219930000001,-71.0403796123898
Veterans Park II,open space,East Boston,,42.37219930000001,-71.0403796123898
Sullivan Square,open space,Charlestown,,42.3840946,-71.07697519999999
Caldwell Street Play Area,open space,Charlestown,,42.385403000000004,-71.07782580197866
L Street Beach,open space,South Boston,,42.32903345,-71.03428793583282
M Street Beach,open space,South Boston,,42.33019295,-71.03145063762878
Stonehill Park,open space,Hyde Park,,42.254587,-71.140883
Marine Park,open space,South Boston,,42.33725775,-71.02397767392266
UMass Harborwalk,open space,Dorchester,,42.31236855,-71.03534568760018
Malibu Beach,open space,Dorchester,,33.0262889,-80.2682905
Victory Road Park,open space,Dorchester,,42.29868745,-71.046600403031
Parkman Memorial,open space,Jamaica Plain,,42.3178688,-71.124401
West Roxbury Parkway,open space,West Roxbury,,42.2835683,-71.1471822611768
Florida Street Reservation,open space,Dorchester,,42.2891406,-71.05891729999999
Tenean Beach,open space,Dorchester,,42.2914969,-71.04280076279481
Cedar Grove Cemetery,open space,Dorchester,,42.2768625,-71.0625631897784
Mother Brook I,open space,Hyde Park,,42.24493629999999,-71.14341340000001
Reservation Road Park,open space,Hyde Park,,42.24821,-71.129512
Colella Playground,open space,Hyde Park,,42.24470865,-71.13482698625725
Neponset Valley Parkway,open space,Hyde Park,,42.2416706,-71.13292647512671
Stony Brook Reservation I,open space,Hyde Park,,42.24825125,-71.13397991365922
Clark/Cooper Community Garden,open space,Mattapan,,42.28854875,-71.10378867718833
Rutland Green,open space,South End,,43.3172958,-72.9926037
Follen Garden,open space,Back Bay/Beacon Hill,,42.345137,-71.0799614
Wellington Common,open space,South End,,-41.0877166,175.4520691
West Springfield Garden,open space,South End,,42.3380987,-71.07799285
Highland Park 400 Garden,open space,Roxbury,,42.32518655,-71.09497367594469
Bowditch Garden,open space,Jamaica Plain,,42.310871,-71.126261
Minton Stable Garden,open space,Jamaica Plain,,42.305404,-71.10546163010426
McBride Garden,open space,Jamaica Plain,,42.3057424,-71.11117774545058
Kennedy Garden,open space,Mattapan,,25.7316298,-100.3171745
White Stadium,open space,Roxbury,,42.279465,-71.14841700000001
Beth Israel/Deaconess Plaza,open space,Fenway/Kenmore,,42.3397554,-71.10492182209877
Rivermoor I,open space,West Roxbury,,42.277833,-71.181706
Havey Beach,open space,West Roxbury,,42.283159000000005,-71.136166
Millennium Park I,open space,West Roxbury,,42.2825059,-71.18181443185924
First Church Cemetery,open space,Jamaica Plain,,14.587880100000001,120.9679173
The Rockies,open space,East Boston,,42.36513355,-71.03508170193463
Childe Hassam Park,open space,South End,,42.34607130000001,-71.07470708597981
Roxbury Heritage State Park II,open space,Roxbury,,42.33070105,-71.09009821210236
Nellie Miranda Memorial Park,open space,Dorchester,,42.31873845,-71.06517963628471
Grove Hall Plaza,open space,Roxbury,,42.31772855,-71.08288194328654
St Rose Street Garden,open space,Jamaica Plain,,42.304955,-71.11636700000001
Commonwealth Plaza,open space,Allston-Brighton,,42.352188500000004,-71.14249607912251
Mendoza Square,open space,East Boston,,42.38088825,-71.02246035165547
Centre Place Garden,open space,Roxbury,,42.329394,-71.094981
Highland Avenue Community Garden,open space,Roxbury,,42.32831565,-71.0927630090763
Chestnut Hill Reservoir Garden,open space,Allston-Brighton,,42.33511665,-71.15833763463203
Wilson Square,open space,Allston-Brighton,,42.9923055,-71.64840579999999
Copley Place Plaza,open space,Back Bay/Beacon Hill,,42.3472309,-71.07758361909961
Marketplace Plaza I,open space,Central Boston,,52.94479079999999,-0.1583483
Marketplace Plaza II,open space,Central Boston,,52.94479079999999,-0.1583483
Liberty Square,open space,Central Boston,,42.35787875,-71.0552968824964
Little Mystic Access Area,open space,Charlestown,,42.38156895,-71.05630865942858
Corey Street Court,open space,Charlestown,,42.3781519,-71.05610290000001
Moakley Park,open space,South Boston,,42.32601535,-71.0505174487359
Boston Design Center Plaza,open space,South Boston,,42.3442158,-71.03254685
Kennedy Library Harborwalk,open space,Dorchester,,42.3152984,-71.03319530389088
Boston Medical Center Campus,open space,South End,,42.33417195,-71.07464492068902
Lawndale Terrace Garden,open space,Jamaica Plain,,42.314085,-71.10611
Frederick Douglass Green,open space,South End,,42.33719910000001,-71.0837224
New Chardon Square,open space,Central Boston,,42.3635018,-71.0590707
Nonquit Street Garden,open space,Dorchester,,42.317136100000006,-71.06889499295937
Peabody Square,open space,Dorchester,,42.286064,-71.0640259188719
Savin Hill Cove,open space,Dorchester,,42.30819395,-71.0620442942198
First Church Yard,open space,Roxbury,,14.587880100000001,120.9679173
Williams Street I,open space,Jamaica Plain,,42.306217,-71.10731700000001
Oakview Terrace,open space,Jamaica Plain,,42.319157000000004,-71.109091
Belle Isle Marsh Reservation,open space,East Boston,,42.38798025,-70.99344373450086
Harbor Point Boulevard,open space,Dorchester,,42.3191071,-71.04276426128294
Jamaicaway,open space,Jamaica Plain,,42.317833,-71.116675
Perkins Street,open space,Jamaica Plain,,42.319235799999994,-71.1239641
Chestnut Street,open space,Jamaica Plain,,42.3221251,-71.1195233
Hellenic Hill II,open space,Jamaica Plain,,42.3138545,-71.13142120452471
Faneuil Square,open space,Central Boston,,42.3556526,-71.163387
Temple Street Park,open space,Back Bay/Beacon Hill,,42.3600334,-71.06347757500002
Williams Street III,open space,Jamaica Plain,,42.306197314474375,-71.1072965038939
American Legion Highway,open space,Multi-District,,42.285513,-71.11045
Morton Street,open space,Roxbury,,42.3368236,-71.098744
St Michael's Cemetery,open space,Mattapan,,42.2891057,-71.10574303643517
Monadnock Street Garden,open space,Dorchester,,42.31710045,-71.06848339999998
Patten's Cove,open space,Dorchester,,42.31365039999999,-71.04867412089176
Leo M. Birmingham Parkway,open space,Allston-Brighton,,42.360360899999996,-71.1465074
Rivermoor II,open space,West Roxbury,,42.277674,-71.181762
Rivermoor III,open space,West Roxbury,,42.27782773294843,-71.18167527553251
Parley Vale Preserve,open space,Jamaica Plain,,42.315092799999995,-71.11305718032267
Condor Street Overlook,open space,East Boston,,42.38259635,-71.04045772097336
McCormack School Ball Field,open space,Dorchester,,42.318254,-71.0449014718429
Boston College HS Athletic Fields,open space,Dorchester,,42.3156792,-71.04370649041999
Truman Parkway,open space,Hyde Park,,42.2510314,-71.1206445
Franklin Park Zoo,open space,Roxbury,,42.30522595,-71.08844808797653
Newland Street Park,open space,South End,,42.3399065,-71.0749501
Bromley Heath Play Area,open space,Jamaica Plain,,42.32515735,-71.10238946848499
Eastport Park,open space,South Boston,,42.34877450000001,-71.04026355972351
South Boston Maritime Park,open space,South Boston,,42.34839385,-71.03983697445204
Millennium Park II,open space,West Roxbury,,42.2825059,-71.18181443185924
North Point Park,open space,Central Boston,,42.372931,-71.07471011907366
Bremen Street Park I,open space,East Boston,,42.37507120000001,-71.03078508491406
South Bank Park,open space,Central Boston,,52.8661625,-0.06144840000000001
Union Square Plaza,open space,Allston-Brighton,,42.3537768,-71.13661996477273
Our Garden,open space,East Boston,,42.37759315,-71.03972102570678
Boston Evening Academy Garden,open space,Roxbury,,42.32701325,-71.0817730970007
South Street Community Garden,open space,Jamaica Plain,,42.2655947,-71.0957838439984
Starr Lane Park,open space,Jamaica Plain,,42.312368,-71.11247
Clementine Park,open space,Dorchester,,42.29278660000001,-71.065595
Columbia Point Community Garden,open space,Dorchester,,42.3186099,-71.0461254658839
Lombardi Memorial Park,open space,East Boston,,42.3706632,-71.04080091114093
West End Park,open space,Central Boston,,42.3639186,-71.0638993
Lincoln Street Green,open space,Central Boston,,42.3521689,-71.0580657
Leather District Park,open space,Central Boston,,42.3523222,-71.05734307739965
Chinatown Park,open space,Central Boston,,42.352216600000006,-71.0626074
Armenian Heritage Park,open space,Central Boston,,42.36092235,-71.053239007294
North Street Park,open space,Central Boston,,42.36238215,-71.0549059569462
Endicott Triangle,open space,Central Boston,,42.3636375,-71.05735416842433
Dewey Square Plaza,open space,Central Boston,,42.3529841,-71.05555365348606
Wormwood Park,open space,South Boston,,42.3474361,-71.05031509999999
Tufts Wharf Harborwalk,open space,Central Boston,,42.353536299999995,-71.05152325591621
Russia Wharf Harborwalk,open space,Central Boston,,42.35278305,-71.05219517475192
Binford Street Park,open space,South Boston,,42.34767625,-71.05323851331045
Galvin Green,open space,Charlestown,,42.37175560000001,-71.06432414826071
I-90 Interchange,open space,Central Boston,,52.9798189,-0.021346599999999997
North End Park,open space,Central Boston,,42.3684306,-71.05477320000001
Wharf District Park,open space,Central Boston,,42.35644675,-71.05032374307919
Bay Village Garden,open space,Central Boston,,42.34912545,-71.06835075072931
Pemberton Square Access,open space,Central Boston,,42.374923100000004,-71.0290656
Prudential Center Plaza II,open space,Back Bay/Beacon Hill,,42.34829305,-71.08314012193398
Prudential Center Plaza III,open space,Back Bay/Beacon Hill,,42.348350599999996,-71.07969233100457
North Beacon Allee,open space,Allston-Brighton,,42.34932979999999,-71.07865473816359
Franklin Park II,open space,Roxbury,,42.30275820000001,-71.09492479361211
O'Reilly Way Court,open space,Charlestown,,42.3778958,-71.0584032
Thoreau Path,open space,Central Boston,,42.3641799,-71.0651898
Brian Honan Park,open space,Allston-Brighton,,42.34431725,-71.14041139384662
Brighton HS Hillside,open space,Allston-Brighton,,42.349246750000006,-71.14544342050723
St. Elizabeth's Hospital Campus,open space,Allston-Brighton,,42.34864995,-71.14799584850206
Allandale Woods II,open space,West Roxbury,,42.3004843,-71.134299769234
Oxford Place Plaza,open space,Central Boston,,42.3520445,-71.06080190000002
Melvinside Play Area,open space,Dorchester,,42.31224545,-71.05841493200296
Huntington-Hemenway Mall,open space,Fenway/Kenmore,,42.3396279,-71.092027891276
Frederick Douglass Peace Garden,open space,South End,,42.33651935,-71.08438892803461
Brigham Circle Plaza,open space,Jamaica Plain,,42.3346084,-71.1036922
Dartmouth Square,open space,South End,,42.34463205,-71.07548215808531
Sharon's Park,open space,Dorchester,,42.32148125000001,-71.05550936419894
Washburn Street Green I,open space,South Boston,,42.325988,-71.05864
