City/Town,Ward,Pct,Edward J. Markey,"Joseph P. Kennedy, III",All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,14,11,149,246,0,3,398,1307,42,1065,3,10,0,121,66,1307,20,992,224,2,10,0,20,39,81.48431523,0.2295332823,0.7651109411,0,9.257842387,5.049732211,17.13848508,3.213465953
Boston,14,12,63,152,0,0,215,809,28,680,1,9,0,74,17,809,3,646,121,1,9,0,25,4,84.05438813,0.1236093943,1.112484549,0,9.147095179,2.101359703,14.95673671,3.461063041
Boston,14,13,118,235,0,1,354,1206,38,1024,6,11,0,73,54,1206,18,973,149,1,11,0,17,37,84.90878939,0.4975124378,0.912106136,0,6.053067993,4.47761194,12.35489221,3.150912106
Boston,14,14,161,226,0,0,387,1350,10,1203,3,5,0,86,43,1350,5,1127,179,2,5,0,3,29,89.11111111,0.2222222222,0.3703703704,0,6.37037037,3.185185185,13.25925926,0.7407407407
Boston,15,1,159,271,0,1,431,1938,266,969,9,44,0,507,143,1938,130,874,554,7,44,0,223,106,50,0.4643962848,2.270381837,0,26.16099071,7.37874097,28.58617131,13.7254902
Boston,15,2,107,155,0,2,264,1270,74,787,5,8,0,297,99,1270,34,749,206,3,8,0,176,94,61.96850394,0.3937007874,0.6299212598,0,23.38582677,7.795275591,16.22047244,5.826771654
Boston,15,3,74,94,0,0,168,875,75,418,3,31,0,260,88,875,56,383,164,3,28,0,163,78,47.77142857,0.3428571429,3.542857143,0,29.71428571,10.05714286,18.74285714,8.571428571
Boston,15,4,240,258,1,11,510,2477,366,912,2,389,1,562,245,2477,262,855,397,2,389,0,366,206,36.81873234,0.08074283407,15.70448123,0.04037141704,22.68873637,9.890997174,16.02745256,14.77593864
Boston,15,5,131,224,0,0,355,1661,214,964,13,92,0,261,117,1661,72,878,422,7,92,0,115,75,58.03732691,0.7826610476,5.538832029,0,15.71342565,7.043949428,25.4063817,12.88380494
Boston,15,6,113,99,1,1,214,1038,329,154,1,459,0,57,38,1038,313,144,75,1,459,0,11,35,14.83622351,0.09633911368,44.21965318,0,5.49132948,3.66088632,7.225433526,31.6955684
Boston,15,7,135,162,1,4,302,1305,165,660,3,22,0,329,126,1305,126,608,222,1,21,0,228,99,50.57471264,0.2298850575,1.685823755,0,25.21072797,9.655172414,17.01149425,12.64367816
Boston,15,8,107,132,0,2,241,1319,208,562,6,302,2,169,70,1319,133,531,236,6,300,2,56,55,42.60803639,0.4548900682,22.89613343,0.1516300227,12.81273692,5.307050796,17.89234268,15.76952237
Boston,15,9,130,125,1,3,259,1362,266,472,5,353,1,200,65,1362,239,457,181,3,351,0,90,41,34.65491924,0.3671071953,25.91776799,0.07342143906,14.68428781,4.772393539,13.28928047,19.53010279
Boston,16,1,169,121,2,3,295,1581,388,444,5,566,0,125,53,1581,327,419,192,4,561,0,35,43,28.08349146,0.3162555345,35.8001265,0,7.906388362,3.352308665,12.14421252,24.54142948
Boston,16,2,171,126,2,2,301,961,580,123,2,187,0,49,20,961,546,115,76,1,187,0,24,12,12.79916753,0.2081165453,19.45889698,0,5.098855359,2.081165453,7.90842872,60.35379813
Boston,16,3,240,210,0,3,453,1745,341,736,5,475,0,109,79,1745,313,709,122,2,475,0,58,66,42.17765043,0.2865329513,27.22063037,0,6.246418338,4.52722063,6.991404011,19.54154728
Boston,16,4,216,181,0,2,399,2177,685,688,9,481,0,211,103,2177,624,657,210,5,477,0,120,84,31.60312356,0.4134129536,22.09462563,0,9.692237023,4.73128158,9.646302251,31.46531925
Boston,16,5,266,216,0,2,484,1213,723,186,4,178,0,85,37,1213,688,167,126,2,178,0,24,28,15.33388293,0.3297609233,14.67436109,0,7.007419621,3.050288541,10.38746908,59.60428689
Boston,16,6,320,237,2,4,563,2277,580,881,4,577,1,146,88,2277,502,816,260,3,577,1,57,61,38.69126043,0.1756697409,25.34036012,0.04391743522,6.411945542,3.8647343,11.41853316,25.47211243
Boston,16,7,266,190,3,13,472,1361,1032,184,3,93,2,36,11,1361,1006,170,61,2,91,2,19,10,13.51947098,0.2204261572,6.833210874,0.1469507715,2.645113887,0.8082292432,4.48199853,75.82659809
Boston,16,8,331,253,1,10,595,1548,922,358,7,162,0,42,57,1548,901,331,93,7,161,0,10,45,23.12661499,0.4521963824,10.46511628,0,2.713178295,3.682170543,6.007751938,59.56072351
Boston,16,9,274,251,5,23,553,1655,1514,55,3,51,0,15,17,1655,1490,54,45,0,51,0,2,13,3.32326284,0.1812688822,3.081570997,0,0.9063444109,1.027190332,2.719033233,91.48036254
Boston,16,10,220,187,3,13,423,1559,1191,184,1,116,2,32,33,1559,1158,174,70,1,116,1,10,29,11.80243746,0.06414368185,7.440667094,0.1282873637,2.052597819,2.116741501,4.490057729,76.39512508
Boston,16,11,296,267,3,12,578,1575,1084,283,5,140,0,33,30,1575,1049,272,78,5,135,0,14,22,17.96825397,0.3174603175,8.888888889,0,2.095238095,1.904761905,4.952380952,68.82539683
Boston,16,12,227,289,6,36,558,1289,1208,46,4,16,0,9,6,1289,1197,45,15,4,16,0,6,6,3.568657874,0.310318076,1.241272304,0,0.6982156711,0.465477114,1.163692785,93.71605896
Boston,17,1,117,203,0,3,323,1313,132,961,16,4,0,132,68,1313,44,927,243,4,4,0,32,59,73.19116527,1.218583397,0.3046458492,0,10.05331302,5.178979436,18.50723534,10.05331302
Boston,17,2,111,161,0,3,275,983,85,617,6,93,2,124,56,983,55,563,176,1,91,0,51,46,62.76703967,0.6103763988,9.460834181,0.2034587996,12.61444557,5.696846389,17.90437436,8.646998983
Boston,17,3,302,338,1,2,643,1996,338,1383,2,40,3,151,79,1996,267,1330,273,1,40,0,35,50,69.28857715,0.1002004008,2.004008016,0.1503006012,7.565130261,3.957915832,13.67735471,16.93386774
Boston,17,4,372,416,2,12,802,2105,514,1236,10,160,0,102,83,2105,492,1190,145,10,158,0,45,65,58.71733967,0.4750593824,7.600950119,0,4.845605701,3.942992874,6.888361045,24.41805226
Boston,17,5,86,157,0,0,243,981,48,777,9,17,1,86,43,981,20,718,189,3,17,1,6,27,79.20489297,0.9174311927,1.732925586,0.1019367992,8.76656473,4.383282365,19.26605505,4.892966361
Boston,17,6,271,227,1,3,502,1526,386,790,10,130,1,137,72,1526,329,745,220,8,130,0,36,58,51.76933159,0.6553079948,8.519003932,0.06553079948,8.977719528,4.718217562,14.41677588,25.2948886
Boston,17,7,93,153,0,5,251,803,44,684,4,10,0,28,33,803,40,660,59,3,10,0,12,19,85.18057285,0.498132005,1.245330012,0,3.486924035,4.109589041,7.347447073,5.479452055
Boston,17,8,159,275,1,1,436,1261,100,1002,9,10,0,91,49,1261,59,958,191,2,10,0,14,27,79.46074544,0.7137192704,0.7930214116,0,7.216494845,3.885804917,15.14670896,7.930214116
Boston,17,9,261,164,0,3,428,1032,430,463,3,55,0,49,32,1032,387,444,97,3,55,0,18,28,44.86434109,0.2906976744,5.329457364,0,4.748062016,3.100775194,9.399224806,41.66666667
Boston,17,10,199,349,1,2,551,1842,111,1537,5,13,0,116,60,1842,68,1471,197,4,13,0,37,52,83.44191097,0.2714440825,0.7057546145,0,6.297502714,3.25732899,10.69489685,6.026058632
Boston,17,11,128,114,0,1,243,708,103,486,1,41,0,54,23,708,86,468,66,1,41,0,31,15,68.6440678,0.1412429379,5.790960452,0,7.627118644,3.248587571,9.322033898,14.5480226
Boston,17,12,181,218,1,1,401,1011,132,750,2,45,0,45,37,1011,120,729,76,2,42,0,16,26,74.18397626,0.1978239367,4.451038576,0,4.451038576,3.659742829,7.517309594,13.05637982
Boston,17,13,309,213,3,8,533,1535,840,458,2,121,0,52,62,1535,812,440,96,2,120,0,14,51,29.83713355,0.1302931596,7.882736156,0,3.38762215,4.039087948,6.254071661,54.72312704
Boston,17,14,306,267,1,1,575,1412,429,821,0,70,3,45,44,1412,397,792,106,0,70,0,17,30,58.14447592,0,4.957507082,0.2124645892,3.186968839,3.116147309,7.507082153,30.38243626
Boston,18,1,252,549,1,8,810,2382,221,1849,20,28,0,174,90,2382,166,1748,358,9,28,0,22,51,77.62384551,0.8396305626,1.175482788,0,7.304785894,3.778337531,15.02938707,9.277917716
Boston,18,2,178,367,1,1,547,1772,46,1598,8,17,1,51,51,1772,22,1544,131,4,16,0,12,43,90.18058691,0.4514672686,0.9593679458,0.05643340858,2.878103837,2.878103837,7.392776524,2.595936795
Boston,18,3,218,422,0,7,647,2048,98,1776,19,18,2,68,67,2048,51,1727,178,15,17,2,7,51,86.71875,0.927734375,0.87890625,0.09765625,3.3203125,3.271484375,8.69140625,4.78515625
Boston,18,4,246,405,0,1,652,2024,96,1764,5,9,0,95,55,2024,70,1711,168,5,9,0,21,40,87.1541502,0.2470355731,0.4446640316,0,4.693675889,2.717391304,8.300395257,4.743083004
Boston,18,5,248,473,1,10,732,1923,104,1681,24,4,0,56,54,1923,82,1630,147,10,4,0,13,37,87.41549662,1.248049922,0.2080083203,0,2.912116485,2.808112324,7.644305772,5.408216329
Boston,18,6,308,572,0,10,890,1999,171,1672,8,13,0,69,66,1999,110,1632,184,7,13,0,6,47,83.64182091,0.4002001001,0.6503251626,0,3.451725863,3.301650825,9.204602301,8.554277139
Boston,18,7,249,335,1,5,590,1688,621,653,18,62,0,277,57,1688,410,584,587,8,59,0,17,23,38.68483412,1.066350711,3.672985782,0,16.40995261,3.376777251,34.77488152,36.78909953
Boston,18,8,443,544,0,7,994,3041,859,1642,15,58,2,356,109,3041,566,1548,791,5,57,2,16,56,53.99539625,0.4932587964,1.907267346,0.06576783953,11.70667544,3.584347254,26.01118053,28.24728708
Boston,18,9,390,255,3,7,655,1606,960,372,7,41,1,160,65,1606,847,345,318,6,40,1,18,31,23.16313823,0.4358655044,2.552926526,0.06226650062,9.9626401,4.04732254,19.8007472,59.7758406
Boston,18,10,697,335,0,7,"1,039",2337,1576,371,13,89,0,212,76,2337,1364,351,470,5,87,0,25,35,15.87505349,0.5562687206,3.808301241,0,9.071459136,3.25203252,20.11125374,67.4368849
Boston,18,11,213,250,1,5,469,1410,415,707,9,29,0,194,56,1410,298,664,390,4,28,0,7,19,50.14184397,0.6382978723,2.056737589,0,13.75886525,3.971631206,27.65957447,29.43262411
Boston,18,12,286,325,4,11,626,1777,951,600,11,40,1,114,60,1777,803,561,342,8,38,1,3,21,33.76477209,0.6190208216,2.250984806,0.05627462015,6.415306697,3.376477209,19.24592009,53.51716376
Boston,18,13,146,198,1,3,348,1147,381,578,3,33,0,116,36,1147,286,546,246,2,33,0,13,21,50.39232781,0.2615518745,2.877070619,0,10.11333915,3.138622493,21.44725371,33.21708806
Boston,18,14,147,211,0,2,360,1284,345,692,5,23,0,169,50,1284,222,647,349,2,20,0,17,27,53.894081,0.3894080997,1.791277259,0,13.16199377,3.894080997,27.18068536,26.86915888
Boston,18,15,258,382,1,5,646,1723,301,1195,6,20,0,151,50,1723,215,1131,330,5,20,0,4,18,69.35577481,0.3482298317,1.160766106,0,8.763784098,2.901915264,19.15264074,17.46952989
Boston,18,16,400,387,2,22,811,1733,1194,380,8,39,5,73,34,1733,1118,355,191,2,38,0,7,22,21.92729371,0.461627236,2.250432776,0.2885170225,4.212348529,1.961915753,11.02135026,68.89786497
Boston,18,17,266,330,4,8,608,1650,689,665,10,44,1,171,70,1650,576,616,374,4,44,1,7,28,40.3030303,0.6060606061,2.666666667,0.06060606061,10.36363636,4.242424242,22.66666667,41.75757576
Boston,18,18,292,449,2,20,763,2356,1007,985,6,17,4,253,84,2356,827,913,537,4,17,0,16,42,41.80814941,0.2546689304,0.7215619694,0.1697792869,10.7385399,3.565365025,22.79286927,42.74193548
Boston,18,19,458,493,5,18,974,2594,1046,1180,8,70,3,199,88,2594,864,1125,467,3,68,0,17,50,45.48959136,0.3084040093,2.698535081,0.1156515035,7.67154973,3.392444102,18.00308404,40.32382421
Boston,18,20,356,471,5,47,879,2279,1486,518,5,42,1,169,58,2279,1417,490,254,4,42,1,38,33,22.72926722,0.2193944713,1.842913559,0.04387889425,7.415533129,2.544975867,11.14523914,65.20403686
Boston,18,21,290,470,3,5,768,2119,111,1810,11,2,0,123,62,2119,61,1748,237,7,1,0,20,45,85.41764983,0.5191127891,0.09438414346,0,5.804624823,2.925908447,11.184521,5.238319962
Boston,18,22,424,328,1,23,776,1753,1115,385,4,32,2,162,53,1753,945,355,387,1,28,2,10,25,21.96235026,0.2281802624,1.825442099,0.1140901312,9.241300627,3.023388477,22.07644039,63.60524815
Boston,18,23,151,288,0,2,441,1195,255,743,6,11,0,148,32,1195,165,696,305,0,11,0,8,10,62.17573222,0.5020920502,0.9205020921,0,12.38493724,2.677824268,25.52301255,21.33891213
Boston,19,1,639,110,1,2,752,1990,1588,118,17,69,0,112,86,1990,1438,104,327,4,67,0,10,40,5.929648241,0.8542713568,3.467336683,0,5.628140704,4.32160804,16.4321608,79.79899497
Boston,19,2,579,242,1,7,829,1878,1545,87,7,177,0,15,47,1878,1497,83,82,6,175,0,0,35,4.632587859,0.3727369542,9.424920128,0,0.7987220447,2.502662407,4.366347178,82.26837061
Boston,19,3,521,122,1,2,646,1308,1121,61,4,65,3,19,35,1308,1080,59,66,0,64,3,6,30,4.663608563,0.3058103976,4.96941896,0.2293577982,1.452599388,2.675840979,5.04587156,85.70336391
Boston,19,4,783,139,0,0,922,1234,1038,61,3,41,0,48,43,1234,980,57,114,2,41,0,5,35,4.943273906,0.2431118314,3.322528363,0,3.889789303,3.484602917,9.238249595,84.11669368
Boston,19,5,612,132,0,1,745,1582,1239,158,8,70,0,71,36,1582,1125,143,209,5,70,0,8,22,9.987357775,0.5056890013,4.424778761,0,4.487989886,2.275600506,13.21112516,78.31858407
Boston,19,6,870,154,1,5,"1,030",1665,1390,123,8,69,0,33,42,1665,1319,110,125,6,69,0,6,30,7.387387387,0.4804804805,4.144144144,0,1.981981982,2.522522523,7.507507508,83.48348348
Boston,19,7,697,168,0,2,867,1717,1105,211,8,136,0,184,73,1717,941,198,388,2,136,0,11,41,12.28887595,0.4659289458,7.920792079,0,10.71636575,4.251601631,22.59755387,64.35643564
Boston,19,8,419,89,0,1,509,843,754,27,1,28,0,12,21,843,728,27,38,1,28,0,4,17,3.202846975,0.118623962,3.321470937,0,1.423487544,2.491103203,4.507710558,89.44246738
Boston,19,9,399,96,0,1,496,844,707,40,1,66,0,11,19,844,661,39,60,0,66,0,3,15,4.739336493,0.1184834123,7.819905213,0,1.303317536,2.251184834,7.109004739,83.76777251
Boston,19,10,536,287,0,2,825,1817,1097,474,6,36,3,142,59,1817,928,425,394,4,35,3,6,22,26.08695652,0.3302146395,1.981287837,0.1651073198,7.815079802,3.247110622,21.68409466,60.37424326
Boston,19,11,192,176,0,2,370,1386,469,390,7,73,0,364,83,1386,232,342,694,2,73,0,7,36,28.13852814,0.5050505051,5.266955267,0,26.26262626,5.988455988,50.07215007,33.83838384
Boston,19,12,451,154,1,2,608,1133,750,237,7,19,1,74,45,1133,656,220,212,5,18,1,1,20,20.91791703,0.6178287732,1.676963813,0.08826125331,6.531332745,3.971756399,18.7113857,66.19593998
Boston,19,13,266,161,0,0,427,1850,792,581,10,42,5,321,99,1850,516,516,732,2,42,4,9,29,31.40540541,0.5405405405,2.27027027,0.2702702703,17.35135135,5.351351351,39.56756757,42.81081081
Boston,20,1,526,210,2,4,742,1872,1672,79,4,55,0,44,18,1872,1603,71,115,1,54,0,13,15,4.22008547,0.2136752137,2.938034188,0,2.35042735,0.9615384615,6.143162393,89.31623932
Boston,20,2,510,210,3,3,726,1786,1285,248,9,67,0,120,57,1786,1129,218,333,3,66,0,7,30,13.88577828,0.5039193729,3.751399776,0,6.718924972,3.191489362,18.6450168,71.94848824
Boston,20,3,288,302,2,10,602,1967,1118,543,4,121,0,133,48,1967,1001,508,298,4,121,0,7,28,27.60549059,0.2033553635,6.151499746,0,6.761565836,2.440264362,15.14997458,56.8378241
Boston,20,4,581,139,1,1,722,1132,972,74,0,21,0,42,23,1132,941,69,85,0,21,0,3,13,6.537102473,0,1.855123675,0,3.71024735,2.03180212,7.508833922,85.86572438
Boston,20,5,319,302,5,13,639,2961,2444,180,6,183,1,106,41,2961,2324,161,245,4,183,1,10,33,6.079027356,0.2026342452,6.180344478,0.0337723742,3.579871665,1.384667342,8.274231678,82.53968254
Boston,20,6,517,264,6,9,796,1978,1797,67,8,64,1,17,24,1978,1735,67,82,7,63,1,3,20,3.387259858,0.4044489383,3.235591507,0.05055611729,0.8594539939,1.213346815,4.145601618,90.84934277
Boston,20,7,356,164,2,3,525,1072,977,41,4,28,0,13,9,1072,933,37,62,4,28,0,2,6,3.824626866,0.3731343284,2.611940299,0,1.212686567,0.8395522388,5.78358209,91.1380597
Boston,20,8,402,177,0,2,581,1391,1117,113,8,45,0,70,38,1391,1056,102,162,1,45,0,2,23,8.123652049,0.5751258088,3.235082674,0,5.032350827,2.731847592,11.64629763,80.30194105
Boston,20,9,402,194,3,8,607,1481,1136,188,1,14,0,109,33,1481,1027,176,243,0,14,0,7,14,12.69412559,0.06752194463,0.9453072248,0,7.359891965,2.228224173,16.40783255,76.7049291
Boston,20,10,488,301,4,6,799,1488,1248,71,0,95,1,53,20,1488,1191,60,122,0,94,1,8,12,4.771505376,0,6.384408602,0.06720430108,3.561827957,1.344086022,8.198924731,83.87096774
Boston,20,11,282,143,1,0,426,816,732,22,0,40,1,7,14,816,708,18,35,0,40,1,1,13,2.696078431,0,4.901960784,0.1225490196,0.8578431373,1.715686275,4.289215686,89.70588235
Boston,20,12,298,209,3,6,516,1044,989,15,0,30,0,5,5,1044,974,14,23,0,30,0,0,3,1.436781609,0,2.873563218,0,0.4789272031,0.4789272031,2.203065134,94.73180077
Boston,20,13,295,155,1,7,458,952,858,19,0,56,1,12,6,952,842,19,29,0,56,1,3,2,1.995798319,0,5.882352941,0.1050420168,1.260504202,0.6302521008,3.046218487,90.12605042
Boston,20,14,293,162,1,3,459,915,845,18,1,36,0,6,9,915,828,13,28,1,36,0,1,8,1.967213115,0.1092896175,3.93442623,0,0.6557377049,0.9836065574,3.06010929,92.34972678
Boston,20,15,352,276,3,6,637,2041,1593,160,7,186,0,69,26,2041,1525,140,154,4,185,0,8,25,7.839294463,0.3429691328,9.113179814,0,3.380695737,1.27388535,7.545320921,78.0499755
Boston,20,16,374,294,6,9,683,2031,1704,87,2,164,2,45,27,2031,1640,79,126,0,164,1,8,13,4.283604136,0.0984736583,8.07483998,0.0984736583,2.215657312,1.329394387,6.203840473,83.89955687
Boston,20,17,491,309,7,14,821,1926,1763,55,1,84,0,6,17,1926,1708,52,70,0,84,0,0,12,2.855659398,0.05192107996,4.361370717,0,0.3115264798,0.8826583593,3.634475597,91.53686397
Boston,20,18,301,131,1,11,444,1041,908,48,7,59,0,8,11,1041,880,45,45,2,59,0,5,5,4.610951009,0.6724303554,5.667627281,0,0.7684918348,1.056676273,4.322766571,87.22382325
Boston,20,19,270,177,1,5,453,1038,961,11,0,56,0,4,6,1038,927,10,41,0,56,0,2,2,1.05973025,0,5.394990366,0,0.3853564547,0.5780346821,3.949903661,92.58188825
Boston,20,20,467,246,4,7,724,2367,1882,102,1,283,0,50,49,2367,1796,97,135,1,283,0,15,40,4.309252218,0.04224757076,11.95606253,0,2.112378538,2.070130967,5.703422053,79.50992818
Boston,21,1,439,138,0,2,579,3936,2804,140,8,776,5,78,125,3936,2608,132,298,7,773,3,14,101,3.556910569,0.2032520325,19.71544715,0.1270325203,1.981707317,3.175813008,7.571138211,71.2398374
Boston,21,2,72,24,0,0,96,6796,4675,223,3,1512,0,115,268,6796,4319,204,525,2,1500,0,20,226,3.281341966,0.04414361389,22.2483814,0,1.692171866,3.943496174,7.725132431,68.79046498
Boston,21,3,280,58,0,1,339,3700,2379,137,6,956,1,101,120,3700,2212,127,256,5,946,1,46,107,3.702702703,0.1621621622,25.83783784,0.02702702703,2.72972973,3.243243243,6.918918919,64.2972973
Boston,21,4,274,33,0,1,308,2966,1914,77,2,596,1,240,136,2966,1775,76,326,1,594,1,101,92,2.596089009,0.06743088334,20.09440324,0.03371544167,8.091706001,4.585300067,10.99123399,64.53135536
Boston,21,5,464,85,0,2,551,2668,1915,106,2,511,3,64,67,2668,1792,98,184,0,507,2,29,56,3.973013493,0.07496251874,19.15292354,0.1124437781,2.3988006,2.511244378,6.896551724,71.77661169
Boston,21,6,346,71,1,7,425,2860,2162,94,5,405,3,108,83,2860,2024,89,216,2,404,3,51,71,3.286713287,0.1748251748,14.16083916,0.1048951049,3.776223776,2.902097902,7.552447552,75.59440559
Boston,21,7,362,163,0,1,526,1555,1017,152,5,207,3,107,64,1555,858,131,290,2,206,3,16,49,9.774919614,0.3215434084,13.31189711,0.192926045,6.881028939,4.115755627,18.64951768,65.40192926
Boston,21,8,544,121,2,2,669,2811,2080,124,6,433,1,104,63,2811,1981,118,196,2,432,1,31,50,4.411241551,0.2134471718,15.4037709,0.03557452864,3.699750978,2.241195304,6.972607613,73.99501957
Boston,21,9,492,137,0,5,634,2881,1824,255,11,555,1,140,95,2881,1691,230,304,4,553,1,24,74,8.85109337,0.3818118709,19.26414439,0.03471017008,4.859423811,3.297466158,10.5518917,63.31135023
Boston,21,10,367,128,0,6,501,2112,1504,152,2,313,1,74,66,2112,1399,134,214,1,311,1,7,45,7.196969697,0.0946969697,14.82007576,0.04734848485,3.503787879,3.125,10.13257576,71.21212121
Boston,21,11,491,108,0,5,604,2664,1982,82,4,465,0,67,64,2664,1890,76,161,2,465,0,18,52,3.078078078,0.1501501502,17.45495495,0,2.515015015,2.402402402,6.043543544,74.3993994
Boston,21,12,435,161,2,6,604,2414,2051,85,2,198,2,36,40,2414,1972,76,126,1,196,2,8,33,3.521126761,0.08285004143,8.202154101,0.08285004143,1.491300746,1.657000829,5.21955261,84.96271748
Boston,21,13,448,186,0,3,637,2772,2133,52,1,502,1,39,44,2772,2088,48,76,0,502,1,17,40,1.875901876,0.03607503608,18.10966811,0.03607503608,1.406926407,1.587301587,2.741702742,76.94805195
Boston,21,14,304,62,0,2,368,1528,1253,44,2,175,0,20,34,1528,1197,42,83,2,175,0,2,27,2.879581152,0.1308900524,11.45287958,0,1.308900524,2.22513089,5.431937173,82.0026178
Boston,21,15,399,65,0,3,467,1905,1545,54,6,236,2,32,30,1905,1488,53,87,4,235,2,11,25,2.834645669,0.3149606299,12.38845144,0.1049868766,1.679790026,1.57480315,4.566929134,81.1023622
Boston,21,16,442,147,1,1,591,5369,4299,265,4,567,0,88,146,5369,4024,248,393,4,564,0,11,125,4.935742224,0.07450176942,10.56062581,0,1.639038927,2.719314584,7.319798845,80.07077668
Boston,22,1,519,123,0,3,645,5112,3220,357,17,1026,1,278,213,5112,2804,315,712,8,1022,1,68,182,6.983568075,0.3325508607,20.07042254,0.01956181534,5.438184664,4.166666667,13.92801252,62.98904538
Boston,22,2,627,206,1,5,839,2937,1933,163,8,404,2,315,112,2937,1738,146,480,3,401,2,98,69,5.549880831,0.2723867892,13.75553286,0.06809669731,10.72522983,3.813415049,16.34320735,65.81545795
Boston,22,3,527,173,1,2,703,2369,1875,78,3,306,0,73,34,2369,1787,70,157,3,305,0,21,26,3.292528493,0.1266357113,12.91684255,0,3.081468974,1.435204728,6.62726889,79.14731954
Boston,22,4,405,145,2,4,556,1406,1133,57,0,154,0,42,20,1406,1085,55,87,0,151,0,10,18,4.054054054,0,10.95305832,0,2.987197724,1.422475107,6.187766714,80.58321479
Boston,22,5,281,119,1,1,402,1642,1010,116,3,185,0,251,77,1642,894,99,270,1,184,0,136,58,7.06455542,0.1827040195,11.26674787,0,15.2862363,4.689403167,16.44336175,61.51035323
Boston,22,6,317,105,0,7,429,1585,1157,41,1,221,0,117,48,1585,1066,32,169,1,221,0,58,38,2.586750789,0.06309148265,13.94321767,0,7.38170347,3.028391167,10.66246057,72.99684543
Boston,22,7,454,139,0,1,594,2079,1628,118,4,160,1,121,47,2079,1552,109,164,3,159,1,52,39,5.675805676,0.1924001924,7.696007696,0.0481000481,5.82010582,2.260702261,7.888407888,78.30687831
Boston,22,8,268,122,1,1,392,2065,1583,61,1,357,0,26,37,2065,1505,58,108,1,354,0,8,31,2.953995157,0.04842615012,17.28813559,0,1.259079903,1.791767554,5.230024213,76.65859564
Boston,22,9,367,134,1,11,513,2018,1564,40,0,319,2,33,60,2018,1498,37,99,0,319,2,11,52,1.982160555,0,15.80773043,0.09910802775,1.635282458,2.973240833,4.905847374,77.5024777
Boston,22,10,478,168,1,6,653,2442,1984,90,1,250,0,73,44,2442,1842,81,207,1,248,0,34,29,3.685503686,0.04095004095,10.23751024,0,2.989352989,1.801801802,8.476658477,81.24488124
Boston,22,11,287,119,1,2,409,1315,1019,66,5,155,0,29,41,1315,949,64,109,1,152,0,12,28,5.019011407,0.3802281369,11.78707224,0,2.205323194,3.117870722,8.288973384,77.4904943
Boston,22,12,263,145,2,4,414,1646,1007,164,8,242,1,158,66,1646,903,138,299,5,242,0,29,30,9.963547995,0.4860267315,14.70230863,0.06075334143,9.599027947,4.009720535,18.16524909,61.17861482
